dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,120.000000,10.000000,0.000004,0.000390,0.019495,0.974726,1.570796
0.020000,120.000000,10.000000,0.000019,0.001170,0.038989,0.974726,1.570796
0.020000,120.000000,10.000000,0.000055,0.002339,0.058484,0.974726,1.570796
0.020000,120.000000,10.000000,0.000117,0.003899,0.077978,0.974726,1.570796
0.020000,120.000000,10.000000,0.000214,0.005848,0.097473,0.974726,1.570796
0.020000,120.000000,10.000000,0.000355,0.008188,0.116967,0.974726,1.570796
0.020000,120.000000,10.000000,0.000546,0.010917,0.136462,0.974726,1.570796
0.020000,120.000000,10.000000,0.000795,0.014036,0.155956,0.974726,1.570796
0.020000,120.000000,10.000000,0.001111,0.017545,0.175451,0.974726,1.570796
0.020000,120.000000,10.000000,0.001501,0.021444,0.194945,0.974726,1.570796
0.020000,120.000000,10.000000,0.001973,0.025733,0.214440,0.974726,1.570796
0.020000,120.000000,10.000000,0.002534,0.030411,0.233934,0.974726,1.570796
0.020000,120.000000,10.000000,0.003193,0.035480,0.253429,0.974726,1.570796
0.020000,120.000000,10.000000,0.003957,0.040938,0.272923,0.974726,1.570796
0.020000,120.000000,10.000000,0.004835,0.046787,0.292418,0.974726,1.570796
0.020000,120.000000,10.000000,0.005833,0.053025,0.311912,0.974726,1.570796
0.020000,120.000000,10.000000,0.006960,0.059653,0.331407,0.974726,1.570796
0.020000,120.000000,10.000000,0.008223,0.066671,0.350901,0.974726,1.570796
0.020000,120.000000,10.000000,0.009630,0.074079,0.370396,0.974726,1.570796
0.020000,120.000000,10.000000,0.011190,0.081877,0.389890,0.974726,1.570796
0.020000,120.000000,10.000000,0.012909,0.090065,0.409385,0.974726,1.570796
0.020000,120.000000,10.000000,0.014796,0.098642,0.428879,0.974726,1.570796
0.020000,120.000000,10.000000,0.016859,0.107610,0.448374,0.974726,1.570796
0.020000,120.000000,10.000000,0.019105,0.116967,0.467868,0.974726,1.570796
0.020000,120.000000,10.000000,0.021541,0.126714,0.487363,0.974726,1.570796
0.020000,120.000000,10.000000,0.024177,0.136851,0.506857,0.974726,1.570796
0.020000,120.000000,10.000000,0.027019,0.147379,0.526352,0.974726,1.570796
0.020000,120.000000,10.000000,0.030076,0.158295,0.545846,0.974726,1.570796
0.020000,120.000000,10.000000,0.033355,0.169602,0.565341,0.974726,1.570796
0.020000,120.000000,10.000000,0.036864,0.181299,0.584835,0.974726,1.570796
0.020000,120.000000,10.000000,0.040611,0.193386,0.604330,0.974726,1.570796
0.020000,120.000000,10.000000,0.044603,0.205862,0.623824,0.974726,1.570796
0.020000,120.000000,10.000000,0.048849,0.218728,0.643319,0.974726,1.570796
0.020000,120.000000,10.000000,0.053356,0.231985,0.662813,0.974726,1.570796
0.020000,120.000000,10.000000,0.058133,0.245631,0.682308,0.974726,1.570796
0.020000,120.000000,10.000000,0.063186,0.259667,0.701802,0.974726,1.570796
0.020000,120.000000,10.000000,0.068523,0.274093,0.721297,0.974726,1.570796
0.020000,120.000000,10.000000,0.074149,0.288519,0.721297,0.000000,1.570796
0.020000,120.000000,10.000000,0.080064,0.302945,0.721297,0.000000,1.570796
0.020000,120.000000,10.000000,0.086267,0.317371,0.721297,-0.000000,1.570796
0.020000,120.000000,10.000000,0.092759,0.331797,0.721297,0.000000,1.570796
0.020000,120.000000,10.000000,0.099539,0.346223,0.721297,0.000000,1.570796
0.020000,120.000000,10.000000,0.106608,0.360648,0.721297,-0.000000,1.570796
0.020000,120.000000,10.003965,0.113965,0.375074,0.721297,0.000000,1.570796
0.020000,120.000000,10.011611,0.121611,0.389500,0.721297,-0.000000,1.570796
0.020000,120.000000,10.019545,0.129545,0.403926,0.721297,0.000000,1.570796
