dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.498523,18.909999,0.001042,0.041667,0.833333,16.666667,0.001048
0.050000,2.498932,18.910000,0.001451,0.008189,-0.669546,-30.057585,0.000757
0.050000,2.499853,18.910000,0.002372,0.018414,0.204492,17.480756,0.000104
0.050000,2.516657,18.909991,0.019176,0.336087,6.353451,122.979186,6.282130
0.050000,2.545249,18.909935,0.047768,0.571838,4.715027,-32.768479,6.280322
0.050000,2.586410,18.909764,0.088930,0.823231,5.027861,6.256669,6.277725
0.050000,2.641273,18.909370,0.143793,1.097275,5.480886,9.060499,6.274275
0.050000,2.709818,18.908612,0.212343,1.370995,5.474394,-0.129834,6.269984
0.050000,2.792023,18.907316,0.294558,1.644291,5.465916,-0.169563,6.264868
0.050000,2.887853,18.905276,0.390410,1.917050,5.455193,-0.214452,6.258944
0.050000,2.997272,18.902255,0.499870,2.189203,5.443047,-0.242924,6.252234
0.050000,3.120227,18.897988,0.622900,2.460590,5.427737,-0.306192,6.244766
0.050000,3.256659,18.892183,0.759455,2.731102,5.410248,-0.349788,6.236571
0.050000,3.406494,18.884524,0.909485,3.000606,5.390090,-0.403158,6.227684
0.050000,3.569644,18.874677,1.072933,3.268947,5.366810,-0.465596,6.218146
0.050000,3.746008,18.862289,1.249731,3.535976,5.340570,-0.524805,6.208005
0.050000,3.934342,18.847093,1.438677,3.778917,4.858821,-9.634990,6.197375
0.050000,4.132275,18.828971,1.637438,3.975218,3.926033,-18.655747,6.186432
0.050000,4.337452,18.807903,1.843694,4.125117,2.997972,-18.561218,6.175346
0.050000,4.547539,18.783977,2.055139,4.228901,2.075690,-18.445647,6.164273
0.050000,4.760229,18.757382,2.269485,4.286916,1.160290,-18.308001,6.153359
0.050000,4.973246,18.728413,2.484463,4.299565,0.252990,-18.145990,6.142736
0.050000,5.185455,18.697292,2.698942,4.289579,-0.199734,-9.054492,6.132466
0.050000,5.396840,18.664110,2.912915,4.279454,-0.202486,-0.055025,6.122556
0.050000,5.607386,18.628958,3.126375,4.269211,-0.204862,-0.047534,6.113009
0.050000,5.817084,18.591926,3.339319,4.258868,-0.206874,-0.040237,6.103828
0.050000,6.025929,18.553104,3.551741,4.248443,-0.208484,-0.032207,6.095018
0.050000,6.233916,18.512583,3.763638,4.237954,-0.209788,-0.026080,6.086579
0.050000,6.441045,18.470451,3.975009,4.227415,-0.210785,-0.019934,6.078515
0.050000,6.647319,18.426799,4.185851,4.216839,-0.211517,-0.014644,6.070825
0.050000,6.852742,18.381715,4.396163,4.206238,-0.212018,-0.010017,6.063511
0.050000,7.057320,18.335285,4.605944,4.195624,-0.212281,-0.005250,6.056574
0.050000,7.261064,18.287596,4.815194,4.185004,-0.212397,-0.002316,6.050013
0.050000,7.463983,18.238735,5.023914,4.174387,-0.212349,0.000956,6.043829
0.050000,7.666091,18.188785,5.232103,4.163780,-0.212136,0.004260,6.038021
0.050000,7.867402,18.137830,5.439762,4.153186,-0.211875,0.005215,6.032589
0.050000,8.067931,18.085952,5.646893,4.142611,-0.211494,0.007617,6.027531
0.050000,8.267694,18.033232,5.853496,4.132060,-0.211032,0.009244,6.022848
0.050000,8.466710,17.979752,6.059572,4.121530,-0.210596,0.008711,6.018539
0.050000,8.664997,17.925590,6.265123,4.111027,-0.210059,0.010756,6.014601
0.050000,8.862575,17.870824,6.470151,4.100550,-0.209534,0.010486,6.011036
0.050000,9.059464,17.815532,6.674656,4.090097,-0.209070,0.009277,6.007841
0.050000,9.255683,17.759790,6.878639,4.079670,-0.208528,0.010843,6.005015
0.050000,9.451255,17.703674,7.082103,4.069266,-0.208086,0.008843,6.002559
0.050000,9.646200,17.647257,7.285047,4.058883,-0.207669,0.008353,6.000471
0.050000,9.840539,17.590615,7.487473,4.048519,-0.207273,0.007918,5.998751
0.050000,10.034295,17.533819,7.689381,4.038170,-0.206978,0.005897,5.997397
0.050000,10.227489,17.476943,7.890773,4.027835,-0.206702,0.005509,5.996410
0.050000,10.420141,17.420058,8.091648,4.017509,-0.206515,0.003745,5.995789
0.050000,10.612274,17.363234,8.292008,4.007189,-0.206397,0.002357,5.995534
0.050000,10.803908,17.306543,8.491851,3.996872,-0.206344,0.001066,5.995645
0.050000,10.995064,17.250055,8.691179,3.986554,-0.206367,-0.000456,5.996122
0.050000,11.185762,17.193838,8.889991,3.976231,-0.206463,-0.001923,5.996965
0.050000,11.376022,17.137963,9.088286,3.965899,-0.206636,-0.003466,5.998174
0.050000,11.565863,17.082498,9.286063,3.955556,-0.206851,-0.004289,5.999750
0.050000,11.755304,17.027511,9.483323,3.945198,-0.207173,-0.006439,6.001693
0.050000,11.944363,16.973071,9.680064,3.934822,-0.207514,-0.006822,6.004005
0.050000,12.133058,16.919246,9.876286,3.924426,-0.207920,-0.008124,6.006685
0.050000,12.321404,16.866103,10.071986,3.914006,-0.208394,-0.009474,6.009734
0.050000,12.509419,16.813709,10.267164,3.903564,-0.208836,-0.008855,6.013154
0.050000,12.697116,16.762132,10.461819,3.893095,-0.209379,-0.010852,6.016944
0.050000,12.884511,16.711439,10.655949,3.882601,-0.209896,-0.010344,6.021107
0.050000,13.071616,16.661697,10.849553,3.872082,-0.210372,-0.009519,6.025643
0.050000,13.258443,16.612972,11.042630,3.861536,-0.210912,-0.010798,6.030553
0.050000,13.445005,16.565331,11.235178,3.850969,-0.211349,-0.008747,6.035838
0.050000,13.631310,16.518839,11.427197,3.840382,-0.211739,-0.007798,6.041498
0.050000,13.817370,16.473563,11.618686,3.829777,-0.212098,-0.007184,6.047534
0.050000,14.003191,16.429568,11.809644,3.819162,-0.212305,-0.004123,6.053946
0.050000,14.188781,16.386920,12.000071,3.808541,-0.212417,-0.002250,6.060736
0.050000,14.374145,16.345683,12.189968,3.797921,-0.212400,0.000339,6.067901
0.050000,14.559289,16.305921,12.379333,3.787312,-0.212176,0.004484,6.075443
0.050000,14.744217,16.267699,12.568169,3.776723,-0.211778,0.007965,6.083360
0.050000,14.928930,16.231080,12.756478,3.766166,-0.211150,0.012548,6.091652
0.050000,15.113431,16.196126,12.944260,3.755653,-0.210257,0.017872,6.100316
0.050000,15.297719,16.162898,13.131520,3.745199,-0.209087,0.023390,6.109351
0.050000,15.481795,16.131459,13.318261,3.734820,-0.207582,0.030113,6.118754
0.050000,15.665655,16.101867,13.504488,3.724532,-0.205755,0.036534,6.128522
0.050000,15.849298,16.074181,13.690205,3.714355,-0.203539,0.044316,6.138651
0.050000,16.032719,16.048460,13.875421,3.704311,-0.200873,0.053324,6.149136
0.050000,16.215258,16.024839,14.059482,3.681220,-0.461817,-5.218885,6.159932
0.050000,16.395306,16.003534,14.240786,3.626081,-1.102779,-12.819238,6.170930
0.050000,16.570962,15.984710,14.417448,3.533242,-1.856780,-15.080019,6.181989
0.050000,16.740337,15.968445,14.587602,3.403076,-2.603323,-14.930860,6.192955
0.050000,16.901548,15.954725,14.749396,3.235883,-3.343856,-14.810662,6.203664
0.050000,17.052725,15.943457,14.900993,3.031927,-4.079128,-14.705436,6.213942
0.050000,17.192655,15.934432,15.041213,2.804415,-4.550235,-9.422136,6.223654
0.050000,17.321076,15.927361,15.169829,2.572306,-4.642178,-1.838854,6.232731
0.050000,17.438021,15.921947,15.286899,2.341404,-4.618044,0.482674,6.241132
0.050000,17.543522,15.917913,15.392477,2.111565,-4.596784,0.425188,6.248817
0.050000,17.637610,15.915004,15.486610,1.882656,-4.578180,0.372096,6.255755
0.050000,17.720311,15.912990,15.569336,1.654518,-4.562763,0.308324,6.261917
0.050000,17.791652,15.911663,15.640689,1.427065,-4.549065,0.273972,6.267280
0.050000,17.851655,15.910845,15.700697,1.200166,-4.537969,0.221912,6.271824
0.050000,17.900338,15.910382,15.749383,0.973719,-4.528938,0.180617,6.275533
0.050000,17.937719,15.910149,15.786764,0.747624,-4.521898,0.140815,6.278394
0.050000,17.964454,15.910049,15.813500,0.534712,-4.258237,5.273219,6.280447
0.050000,17.982138,15.910012,15.831184,0.353678,-3.620685,12.751023,6.281808
0.050000,17.992654,15.910002,15.841700,0.210315,-2.867262,15.068472,6.282619
0.050000,17.997883,15.910000,15.846929,0.104587,-2.114561,15.054015,6.283022
0.050000,17.999706,15.910000,15.848751,0.036447,-1.362809,15.035043,6.283163
0.050000,18.000000,15.910000,15.849046,0.005885,-0.611224,15.031698,6.283185
0.050000,18.000000,15.910000,15.849046,0.000000,-0.117708,9.870320,6.283185
