dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.001829,16.090001,0.001042,0.041667,0.833333,16.666667,0.001297
0.050000,6.001178,16.090000,0.001693,0.013023,-0.572872,-28.124108,0.000835
0.050000,6.001547,16.090000,0.002062,0.007389,-0.112674,9.203962,6.282982
0.050000,6.015614,16.089984,0.016129,0.281336,5.478925,111.831984,6.281138
0.050000,6.037600,16.089907,0.038115,0.439710,3.167493,-46.228644,6.278262
0.050000,6.069272,16.089686,0.069788,0.633469,3.875179,14.153719,6.274129
0.050000,6.111528,16.089187,0.112047,0.845169,4.234000,7.176412,6.268639
0.050000,6.164388,16.088237,0.164915,1.057372,4.244057,0.201143,6.261808
0.050000,6.227880,16.086621,0.228428,1.270249,4.257532,0.269509,6.253661
0.050000,6.302036,16.084080,0.302627,1.483998,4.274996,0.349276,6.244229
0.050000,6.386895,16.080318,0.387570,1.698853,4.297096,0.441995,6.233550
0.050000,6.482501,16.074998,0.483324,1.915080,4.324545,0.548987,6.221674
0.050000,6.588904,16.067747,0.589973,2.132984,4.358065,0.670399,6.208660
0.050000,6.706157,16.058159,0.707618,2.352897,4.398266,0.804021,6.194579
0.050000,6.834322,16.045796,0.836378,2.575195,4.445950,0.953679,6.179516
0.050000,6.973464,16.030191,0.976392,2.800274,4.501595,1.112901,6.163569
0.050000,7.122757,16.010981,1.126916,3.010487,4.204255,-5.946808,6.146951
0.050000,7.280476,15.987985,1.286303,3.187738,3.545022,-13.184662,6.129969
0.050000,7.444880,15.961150,1.452883,3.331596,2.877158,-13.357273,6.112917
0.050000,7.614212,15.930554,1.624956,3.441469,2.197458,-13.594007,6.096067
0.050000,7.786696,15.896417,1.800785,3.516584,1.502306,-13.903034,6.079665
0.050000,7.960538,15.859098,1.978589,3.556065,0.789621,-14.253695,6.063924
0.050000,8.134838,15.818871,2.157470,3.577636,0.431410,-7.164217,6.048948
0.050000,8.309597,15.775843,2.337448,3.599550,0.438289,0.137578,6.034748
0.050000,8.484817,15.730127,2.518534,3.621719,0.443386,0.101938,6.021335
0.050000,8.660505,15.681838,2.700737,3.644064,0.446887,0.070022,6.008714
0.050000,8.836668,15.631095,2.884063,3.666514,0.449007,0.042401,5.996889
0.050000,9.013317,15.578018,3.068513,3.689012,0.449957,0.019001,5.985862
0.050000,9.190466,15.522732,3.254089,3.711508,0.449917,-0.000797,5.975632
0.050000,9.368131,15.465362,3.440787,3.733965,0.449145,-0.015440,5.966199
0.050000,9.546333,15.406036,3.628605,3.756353,0.447762,-0.027670,5.957560
0.050000,9.725094,15.344882,3.817537,3.778650,0.445943,-0.036372,5.949711
0.050000,9.904442,15.282029,4.007579,3.800842,0.443839,-0.042078,5.942649
0.050000,10.084406,15.217610,4.198725,3.822922,0.441582,-0.045139,5.936369
0.050000,10.265019,15.151756,4.390970,3.844886,0.439289,-0.045868,5.930869
0.050000,10.446318,15.084600,4.584307,3.866739,0.437060,-0.044571,5.926144
0.050000,10.628341,15.016276,4.778731,3.888488,0.434984,-0.041538,5.922189
0.050000,10.811133,14.946919,4.974238,3.910145,0.433131,-0.037049,5.919003
0.050000,10.994736,14.876663,5.170824,3.931723,0.431562,-0.031384,5.916582
0.050000,11.179200,14.805647,5.368486,3.953239,0.430325,-0.024743,5.914924
0.050000,11.364575,14.734009,5.567222,3.974712,0.429458,-0.017330,5.914027
0.050000,11.550913,14.661887,5.767030,3.996161,0.428978,-0.009602,5.913891
0.050000,11.738268,14.589425,5.967910,4.017606,0.428901,-0.001536,5.914515
0.050000,11.926698,14.516764,6.169864,4.039067,0.429230,0.006567,5.915901
0.050000,12.116259,14.444052,6.372892,4.060565,0.429954,0.014492,5.918048
0.050000,12.307010,14.371436,6.576998,4.082118,0.431055,0.022017,5.920960
0.050000,12.499012,14.299068,6.782185,4.103743,0.432501,0.028916,5.924639
0.050000,12.692323,14.227102,6.988458,4.125455,0.434249,0.034957,5.929088
0.050000,12.887004,14.155696,7.195821,4.147268,0.436244,0.039895,5.934310
0.050000,13.083114,14.085012,7.404281,4.169188,0.438417,0.043471,5.940310
0.050000,13.280711,14.015215,7.613842,4.191223,0.440688,0.045417,5.947091
0.050000,13.479850,13.946477,7.824510,4.213371,0.442960,0.045446,5.954658
0.050000,13.680584,13.878972,8.036292,4.235627,0.445123,0.043263,5.963014
0.050000,13.882964,13.812879,8.249191,4.257981,0.447070,0.038938,5.972163
0.050000,14.087035,13.748383,8.463211,4.280411,0.448609,0.030773,5.982107
0.050000,14.292838,13.685673,8.678356,4.302892,0.449614,0.020105,5.992849
0.050000,14.500406,13.624945,8.894625,4.325388,0.449920,0.006122,6.004388
0.050000,14.709766,13.566396,9.112018,4.347854,0.449333,-0.011749,6.016725
0.050000,14.920936,13.510230,9.330530,4.370237,0.447653,-0.033591,6.029855
0.050000,15.133925,13.456654,9.550153,4.392471,0.444673,-0.059615,6.043773
0.050000,15.348729,13.405878,9.770877,4.414479,0.440160,-0.090245,6.058473
0.050000,15.565334,13.358115,9.992686,4.436175,0.433926,-0.124691,6.073941
0.050000,15.782906,13.313735,10.214738,4.441042,0.097345,-6.731618,6.090104
0.050000,15.999421,13.273262,10.435003,4.405299,-0.714857,-16.244046,6.106781
0.050000,16.212442,13.237140,10.651066,4.321251,-1.680966,-19.322178,6.123737
0.050000,16.419464,13.205638,10.860470,4.188093,-2.663157,-19.643808,6.140707
0.050000,16.617923,13.178851,11.060729,4.005178,-3.658303,-19.902930,6.157404
0.050000,16.805218,13.156694,11.249330,3.772008,-4.663401,-20.101953,6.173525
0.050000,16.979560,13.138843,11.424584,3.505086,-5.338431,-13.500603,6.188827
0.050000,17.140362,13.124785,11.585999,3.228295,-5.535831,-3.948004,6.203180
0.050000,17.287415,13.113977,11.733448,2.948990,-5.586098,-1.005336,6.216493
0.050000,17.420547,13.105899,11.866825,2.667547,-5.628849,-0.855018,6.228691
0.050000,17.539621,13.100060,11.986042,2.384335,-5.664253,-0.708083,6.239711
0.050000,17.644526,13.096010,12.091025,2.099655,-5.693599,-0.586911,6.249501
0.050000,17.735176,13.093342,12.181714,1.813786,-5.717381,-0.475653,6.258018
0.050000,17.811506,13.091695,12.258062,1.526954,-5.736630,-0.384978,6.265230
0.050000,17.873468,13.090765,12.320032,1.239396,-5.751157,-0.290545,6.271110
0.050000,17.921030,13.090298,12.367596,0.951286,-5.762200,-0.220847,6.275639
0.050000,17.955018,13.090097,12.401584,0.679768,-5.430375,6.636503,6.278883
0.050000,17.977470,13.090024,12.424036,0.449037,-4.614619,16.315117,6.281029
0.050000,17.990788,13.090004,12.437354,0.266363,-3.653470,19.222986,6.282303
0.050000,17.997377,13.090000,12.443944,0.131789,-2.691492,19.239540,6.282934
0.050000,17.999645,13.090000,12.446212,0.045360,-1.728573,19.258383,6.283151
0.050000,18.000000,13.090000,12.446566,0.007091,-0.765387,19.263717,0.000000
0.050000,18.000000,13.090000,12.446566,0.000000,-0.141813,12.471492,0.000000
