dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,18.001829,13.090001,0.001042,0.041667,0.833333,16.666667,3.142890
0.050000,18.001178,13.090000,0.001693,0.013023,-0.572872,-28.124108,3.142428
0.050000,17.997880,13.090000,0.004991,0.065955,1.058639,32.630222,3.141390
0.050000,17.978613,13.090022,0.024258,0.385342,6.387735,106.581927,3.139546
0.050000,17.948515,13.090127,0.054355,0.601956,4.332278,-41.109156,3.136669
0.050000,17.905190,13.090430,0.097682,0.866529,5.291458,19.183616,3.132537
0.050000,17.846250,13.091129,0.156626,1.178879,6.247006,19.110953,3.126932
0.050000,17.769326,13.092537,0.233563,1.538738,7.197178,19.003439,3.119648
0.050000,17.672074,13.095118,0.330849,1.945723,8.139699,18.850419,3.110491
0.050000,17.552192,13.099521,0.450812,2.399266,9.070867,18.623365,3.099287
0.050000,17.407437,13.106622,0.595742,2.898588,9.986440,18.311461,3.085891
0.050000,17.235654,13.117557,0.767872,3.442609,10.880418,17.879548,3.070194
0.050000,17.035998,13.133644,0.968175,4.006065,11.269114,7.773920,3.052247
0.050000,16.808940,13.156285,1.196359,4.563668,11.152075,-2.340767,3.032256
0.050000,16.555090,13.186966,1.452056,5.113945,11.005535,-2.930796,3.010481
0.050000,16.275204,13.227211,1.734821,5.655304,10.827185,-3.567004,2.987239
0.050000,15.971331,13.278301,2.042959,6.162752,10.148954,-13.564629,2.962993
0.050000,15.646740,13.341082,2.373566,6.612142,8.987797,-23.223139,2.938324
0.050000,15.304674,13.416019,2.723744,7.003564,7.828437,-23.187197,2.913812
0.050000,14.948293,13.503173,3.090627,7.337652,6.681759,-22.933563,2.890012
0.050000,14.580615,13.602185,3.471403,7.615536,5.557685,-22.481480,2.867440
0.050000,14.204464,13.712305,3.863341,7.838759,4.464468,-21.864343,2.846557
0.050000,13.822447,13.832426,4.263799,8.009144,3.407698,-21.135400,2.827759
0.050000,13.436936,13.961146,4.670231,8.128656,2.390236,-20.349228,2.811374
0.050000,13.050075,14.096826,5.080196,8.199288,1.412643,-19.551875,2.797655
0.050000,12.663799,14.237658,5.491344,8.222963,0.473495,-18.782952,2.786792
0.050000,12.279866,14.381730,5.901419,8.201494,-0.429373,-18.057361,2.778908
0.050000,11.899890,14.527082,6.308247,8.136561,-1.298676,-17.386065,2.774065
0.050000,11.524409,14.672146,6.710776,8.050581,-1.719588,-8.418240,2.772271
0.050000,11.152969,14.815766,7.109015,7.964784,-1.715939,0.072976,2.773520
0.050000,10.785144,14.956819,7.502957,7.878849,-1.718697,-0.055149,2.777816
0.050000,10.421353,15.093904,7.891721,7.775261,-2.071771,-7.061480,2.785155
0.050000,10.062968,15.225350,8.273450,7.634584,-2.813542,-14.835413,2.795483
0.050000,9.711507,15.349584,8.646222,7.455443,-3.582822,-15.385612,2.808686
0.050000,9.368500,15.465241,9.008203,7.239625,-4.316346,-14.670486,2.824588
0.050000,9.035501,15.571205,9.357655,6.989041,-5.011695,-13.906963,2.842943
0.050000,8.714087,15.666644,9.692939,6.705676,-5.667284,-13.111783,2.863437
0.050000,8.405857,15.751039,10.012514,6.391504,-6.283438,-12.323090,2.885685
0.050000,8.112421,15.824198,10.314933,6.048381,-6.862460,-11.580444,2.909236
0.050000,7.835391,15.886253,10.598828,5.677899,-7.409649,-10.943780,2.933583
0.050000,7.576377,15.937645,10.862891,5.281263,-7.932723,-10.461466,2.958176
0.050000,7.336978,15.979088,11.105851,4.859187,-8.441518,-10.175916,2.982440
0.050000,7.118784,16.011525,11.326443,4.411844,-8.946869,-10.107003,3.005793
0.050000,6.922613,16.036154,11.524154,3.954215,-9.152563,-4.113891,3.027754
0.050000,6.748402,16.054300,11.699308,3.503078,-9.022744,2.596378,3.047983
0.050000,6.595973,16.067216,11.852283,3.059513,-8.871312,3.028639,3.066210
0.050000,6.465169,16.076047,11.983385,2.622031,-8.749631,2.433626,3.082222
0.050000,6.355101,16.081834,12.093604,2.204386,-8.352893,7.934753,3.095944
0.050000,6.264026,16.085470,12.184752,1.822959,-7.628538,14.487102,3.107459
0.050000,6.190095,16.087645,12.258715,1.479265,-6.873882,15.093133,3.116909
0.050000,6.131485,16.088871,12.317338,1.172457,-6.136174,14.754148,3.124462
0.050000,6.086392,16.089512,12.362436,0.901951,-5.410105,14.521379,3.130309
0.050000,6.053027,16.089816,12.395802,0.667321,-4.692605,14.350011,3.134654
0.050000,6.029613,16.089943,12.419216,0.468295,-3.980530,14.241504,3.137713
0.050000,6.014378,16.089986,12.434451,0.304686,-3.272169,14.167217,3.139707
0.050000,6.005560,16.089998,12.443269,0.176366,-2.566411,14.115153,3.140863
0.050000,6.001397,16.090000,12.447433,0.083270,-1.861921,14.089800,3.141409
0.050000,6.000129,16.090000,12.448700,0.025347,-1.158453,14.069369,3.141576
0.050000,6.000000,16.090000,12.448829,0.002588,-0.455183,14.065402,3.141593
0.050000,6.000000,16.090000,12.448829,0.000000,-0.051756,8.068528,3.141593
