dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,18.000000,14.500000,0.001042,0.041667,0.833333,16.666667,3.142890
0.050000,18.000000,14.500000,0.005208,0.125000,1.666667,16.666667,3.142428
0.050000,17.998166,14.500000,0.014583,0.250000,2.500000,16.666667,3.141390
0.050000,17.981499,14.500019,0.031250,0.416667,3.333333,16.666667,3.139546
0.050000,17.955458,14.500110,0.057292,0.625000,4.166667,16.666667,3.136669
0.050000,17.917959,14.500372,0.094792,0.875000,5.000000,16.666667,3.132537
0.050000,17.867963,14.500962,0.144792,1.125000,5.000000,0.000000,3.127046
0.050000,17.805473,14.502085,0.207292,1.375000,5.000000,0.000000,3.120216
0.050000,17.730497,14.503994,0.282292,1.625000,5.000000,0.000000,3.112069
0.050000,17.643049,14.506990,0.369792,1.875000,5.000000,0.000000,3.102636
0.050000,17.543148,14.511419,0.469792,2.125000,5.000000,0.000000,3.091958
0.050000,17.430822,14.517669,0.582292,2.375000,5.000000,0.000000,3.080081
0.050000,17.306112,14.526167,0.707292,2.625000,5.000000,0.000000,3.067067
0.050000,17.169071,14.537372,0.844792,2.875000,5.000000,0.000000,3.052986
0.050000,17.019765,14.551775,0.994792,3.125000,5.000000,0.000000,3.037923
0.050000,16.858280,14.569884,1.157292,3.375000,5.000000,0.000000,3.021976
0.050000,16.685746,14.592084,1.331250,3.583333,4.166667,-16.666667,3.005358
0.050000,16.504332,14.618532,1.514583,3.750000,3.333333,-16.666667,2.988376
0.050000,16.316199,14.649240,1.705208,3.875000,2.500000,-16.666667,2.971324
0.050000,16.123488,14.684059,1.901042,3.958333,1.666667,-16.666667,2.954475
0.050000,15.928318,14.722684,2.100000,4.000000,0.833333,-16.666667,2.938072
0.050000,15.732774,14.764660,2.300000,4.000000,0.000000,-16.666667,2.922331
0.050000,15.537899,14.809634,2.500000,4.000000,0.000000,0.000000,2.907355
0.050000,15.343700,14.857447,2.700000,4.000000,0.000000,0.000000,2.893156
0.050000,15.150179,14.907936,2.900000,4.000000,0.000000,0.000000,2.879743
0.050000,14.957332,14.960940,3.100000,4.000000,0.000000,0.000000,2.867122
0.050000,14.765147,15.016297,3.300000,4.000000,0.000000,0.000000,2.855297
0.050000,14.573607,15.073847,3.500000,4.000000,0.000000,0.000000,2.844269
0.050000,14.382689,15.133429,3.700000,4.000000,0.000000,0.000000,2.834040
0.050000,14.192366,15.194885,3.900000,4.000000,0.000000,0.000000,2.824606
0.050000,14.002606,15.258059,4.100000,4.000000,0.000000,0.000000,2.815967
0.050000,13.813373,15.322794,4.300000,4.000000,0.000000,0.000000,2.808118
