dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,17.998171,15.909999,0.001042,0.041667,0.833333,16.666667,3.142890
0.050000,17.998822,15.910000,0.001693,0.013023,-0.572872,-28.124108,3.142428
0.050000,17.998453,15.910000,0.002062,0.007389,-0.112674,9.203962,3.141390
0.050000,17.984386,15.910016,0.016129,0.281336,5.478925,111.831984,3.139546
0.050000,17.962400,15.910093,0.038115,0.439710,3.167493,-46.228644,3.136669
0.050000,17.930728,15.910314,0.069788,0.633469,3.875179,14.153719,3.132537
0.050000,17.888472,15.910813,0.112047,0.845169,4.234000,7.176412,3.127046
0.050000,17.835612,15.911763,0.164915,1.057372,4.244057,0.201143,3.120216
0.050000,17.772120,15.913379,0.228428,1.270249,4.257532,0.269509,3.112069
0.050000,17.697964,15.915920,0.302627,1.483998,4.274996,0.349276,3.102636
0.050000,17.613105,15.919682,0.387570,1.698853,4.297096,0.441995,3.091958
0.050000,17.517499,15.925002,0.483324,1.915080,4.324545,0.548987,3.080081
0.050000,17.411096,15.932253,0.589973,2.132984,4.358065,0.670399,3.067067
0.050000,17.293843,15.941841,0.707618,2.352897,4.398266,0.804021,3.052986
0.050000,17.165678,15.954204,0.836378,2.575195,4.445950,0.953679,3.037923
0.050000,17.026536,15.969809,0.976392,2.800274,4.501595,1.112901,3.021976
0.050000,16.877243,15.989019,1.126916,3.010487,4.204255,-5.946808,3.005358
0.050000,16.719524,16.012015,1.286303,3.187738,3.545022,-13.184662,2.988376
0.050000,16.555120,16.038850,1.452883,3.331596,2.877158,-13.357273,2.971324
0.050000,16.385788,16.069446,1.624956,3.441469,2.197458,-13.594007,2.954475
0.050000,16.213304,16.103583,1.800785,3.516584,1.502306,-13.903034,2.938072
0.050000,16.039462,16.140902,1.978589,3.556065,0.789621,-14.253695,2.922331
0.050000,15.865162,16.181129,2.157470,3.577636,0.431410,-7.164217,2.907355
0.050000,15.690403,16.224157,2.337448,3.599550,0.438289,0.137578,2.893156
0.050000,15.515183,16.269873,2.518534,3.621719,0.443386,0.101938,2.879743
0.050000,15.339495,16.318162,2.700737,3.644064,0.446887,0.070022,2.867122
0.050000,15.163332,16.368905,2.884063,3.666514,0.449007,0.042401,2.855297
0.050000,14.986683,16.421982,3.068513,3.689012,0.449957,0.019001,2.844269
0.050000,14.809534,16.477268,3.254089,3.711508,0.449917,-0.000797,2.834040
0.050000,14.631869,16.534638,3.440787,3.733965,0.449145,-0.015440,2.824606
0.050000,14.453667,16.593964,3.628605,3.756353,0.447762,-0.027670,2.815967
0.050000,14.274906,16.655118,3.817537,3.778650,0.445943,-0.036372,2.808118
0.050000,14.095558,16.717971,4.007579,3.800842,0.443839,-0.042078,2.801056
0.050000,13.915594,16.782390,4.198725,3.822922,0.441582,-0.045139,2.794777
0.050000,13.734981,16.848244,4.390970,3.844886,0.439289,-0.045868,2.789276
0.050000,13.553682,16.915400,4.584307,3.866739,0.437060,-0.044571,2.784551
0.050000,13.371659,16.983724,4.778731,3.888488,0.434984,-0.041538,2.780597
0.050000,13.188867,17.053081,4.974238,3.910145,0.433131,-0.037049,2.777410
