dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,6.500000,11.340000,0.001042,0.041667,0.833333,16.666667,0.000000
0.050000,6.500000,11.340000,0.001042,0.000000,-0.833333,-33.333333,0.000000
0.050000,6.503083,11.340000,0.004125,0.061667,1.233333,41.333333,0.000000
0.050000,6.519750,11.340000,0.020792,0.333333,5.433333,84.000000,0.000000
0.050000,6.545792,11.340000,0.046833,0.520833,3.750000,-33.666667,0.000000
0.050000,6.583292,11.340000,0.084333,0.750000,4.583333,16.666667,0.000000
0.050000,6.633292,11.340000,0.134333,1.000000,5.000000,8.333333,0.000000
0.050000,6.695792,11.340000,0.196833,1.250000,5.000000,0.000000,0.000000
0.050000,6.770792,11.340000,0.271833,1.500000,5.000000,0.000000,0.000000
0.050000,6.858292,11.340000,0.359333,1.750000,5.000000,-0.000000,0.000000
0.050000,6.958292,11.340000,0.459333,2.000000,5.000000,0.000000,0.000000
0.050000,7.070792,11.340000,0.571833,2.250000,5.000000,-0.000000,0.000000
0.050000,7.195792,11.340000,0.696833,2.500000,5.000000,0.000000,0.000000
0.050000,7.333292,11.340000,0.834333,2.750000,5.000000,-0.000000,0.000000
0.050000,7.483292,11.340000,0.984333,3.000000,5.000000,0.000000,0.000000
0.050000,7.645792,11.340000,1.146833,3.250000,5.000000,-0.000000,0.000000
0.050000,7.819750,11.340000,1.320792,3.479167,4.583333,-8.333333,0.000000
0.050000,8.003083,11.340000,1.504125,3.666667,3.750000,-16.666667,0.000000
0.050000,8.193708,11.340000,1.694750,3.812500,2.916667,-16.666667,0.000000
0.050000,8.389542,11.340000,1.890583,3.916667,2.083333,-16.666667,0.000000
0.050000,8.588500,11.340000,2.089542,3.979167,1.250000,-16.666667,0.000000
0.050000,8.788500,11.340000,2.289542,4.000000,0.416667,-16.666667,0.000000
0.050000,8.988500,11.340000,2.489542,4.000000,0.000000,-8.333333,0.000000
0.050000,9.188500,11.340000,2.689542,4.000000,0.000000,0.000000,0.000000
0.050000,9.388500,11.340000,2.889542,4.000000,-0.000000,-0.000000,0.000000
