dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.166624,13.580000,0.001042,0.041667,0.833333,16.666667,0.000267
0.050000,7.166864,13.580000,0.001281,0.004791,-0.737512,-31.416912,0.000097
0.050000,7.174414,13.579999,0.008832,0.151010,2.924377,73.237781,6.282897
0.050000,7.192057,13.579988,0.026474,0.352852,4.036843,22.249327,6.282205
0.050000,7.219653,13.579946,0.054071,0.551937,3.981703,-1.102807,6.281102
0.050000,7.259458,13.579830,0.093876,0.796091,4.883083,18.027601,6.279468
0.050000,7.312651,13.579573,0.147070,1.063878,5.355729,9.452923,6.277203
0.050000,7.379340,13.579075,0.213760,1.333814,5.398715,0.859719,6.274231
0.050000,7.459660,13.578206,0.294085,1.606504,5.453805,1.101800,6.270454
0.050000,7.553782,13.576789,0.388218,1.882643,5.522778,1.379455,6.265750
0.050000,7.661911,13.574594,0.496369,2.163021,5.607568,1.695808,6.259969
0.050000,7.784293,13.571327,0.618795,2.448520,5.709981,2.048257,6.252929
0.050000,7.921223,13.566607,0.755806,2.740226,5.834127,2.482927,6.244410
0.050000,8.073048,13.559947,0.907777,3.039422,5.983910,2.995651,6.234147
0.050000,8.240178,13.550727,1.075161,3.347686,6.165274,3.627276,6.221817
0.050000,8.423097,13.538150,1.258512,3.667011,6.386510,4.424725,6.207028
0.050000,8.621175,13.521308,1.457304,3.975850,6.176779,-4.194611,6.189413
0.050000,8.832602,13.499245,1.669880,4.251508,5.513154,-13.272507,6.168671
0.050000,9.055511,13.470918,1.894581,4.494025,4.850343,-13.256213,6.144500
0.050000,9.287932,13.435219,2.129728,4.702943,4.178365,-13.439566,6.116613
0.050000,9.527749,13.391024,2.373583,4.877100,3.483129,-13.904718,6.084764
0.050000,9.772625,13.337259,2.624292,5.014179,2.741579,-14.831013,6.048790
0.050000,10.021243,13.272643,2.881170,5.137560,2.467627,-5.479021,6.008439
0.050000,10.273324,13.195493,3.144793,5.272454,2.697878,4.605018,5.963301
0.050000,10.528276,13.103955,3.415679,5.417728,2.905484,4.152119,5.913006
0.050000,10.785073,12.996075,3.694217,5.570747,3.060386,3.098044,5.857280
0.050000,11.042123,12.869930,3.980551,5.726683,3.118709,1.166457,5.796018
0.050000,11.297158,12.723841,4.274464,5.878264,3.031613,-1.741934,5.729375
0.050000,11.547206,12.556665,4.575249,6.015703,2.748779,-5.656673,5.657850
0.050000,11.788701,12.368114,4.881633,6.127678,2.239518,-10.185222,5.582349
0.050000,12.017780,12.159018,5.191792,6.203174,1.509918,-14.591992,5.504166
0.050000,12.230736,11.931410,5.503489,6.233951,0.615538,-17.887605,5.424890
0.050000,12.424516,11.688363,5.814332,6.216848,-0.342067,-19.152105,5.346221
0.050000,12.597117,11.433590,6.122065,6.154670,-1.243563,-18.029912,5.269761
0.050000,12.747628,11.171149,6.424603,6.050754,-2.078322,-16.695174,5.196883
0.050000,12.875699,10.906182,6.718898,5.885904,-3.296984,-24.373240,5.128902
0.050000,12.981841,10.644413,7.001368,5.649399,-4.730108,-28.662491,5.066882
0.050000,13.067733,10.390712,7.269215,5.356934,-5.849293,-22.383700,5.011330
0.050000,13.135703,10.149058,7.520246,5.020615,-6.726383,-17.541805,4.962323
0.050000,13.188322,9.922682,7.752657,4.648224,-7.447825,-14.428836,4.919659
0.050000,13.228174,9.714046,7.965064,4.248154,-8.001394,-11.071385,4.882952
0.050000,13.257826,9.523924,8.157485,3.848406,-7.994970,0.128490,4.851557
0.050000,13.279565,9.351815,8.330961,3.469533,-7.577455,8.350290,4.824735
0.050000,13.295206,9.197201,8.486364,3.108054,-7.229579,6.957538,4.801867
0.050000,13.306197,9.059593,8.624411,2.760931,-6.942464,5.742283,4.782443
0.050000,13.313687,8.938550,8.745685,2.425497,-6.708677,4.675740,4.766050
0.050000,13.318596,8.833688,8.850662,2.099532,-6.519293,3.787680,4.752352
0.050000,13.321650,8.744683,8.939719,1.781146,-6.367722,3.031425,4.741078
0.050000,13.323423,8.671263,9.013160,1.468822,-6.246490,2.424644,4.732015
0.050000,13.324358,8.613214,9.071217,1.161137,-6.153689,1.856010,4.724998
0.050000,13.324790,8.570183,9.114250,0.860654,-6.009665,2.880498,4.719878
0.050000,13.324960,8.540616,9.143818,0.591368,-5.385725,12.478782,4.716401
0.050000,13.325014,8.521951,9.162483,0.373300,-4.361361,20.487292,4.714222
0.050000,13.325027,8.511655,9.172779,0.205916,-3.347671,20.273789,4.713026
0.050000,13.325029,8.507222,9.177212,0.088665,-2.345013,20.053177,4.712512
0.050000,13.325029,8.506159,9.178275,0.021256,-1.348192,19.936405,4.712389
0.050000,13.325029,8.506159,9.178275,0.000000,-0.425117,18.461516,4.712389
