dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.167000,12.170000,0.001042,0.041667,0.833333,16.666667,0.000267
0.050000,7.167000,12.170000,0.005208,0.125000,1.666667,16.666667,0.000097
0.050000,7.174008,12.169999,0.014583,0.250000,2.500000,16.666667,6.282897
0.050000,7.190675,12.169988,0.031250,0.416667,3.333333,16.666667,6.282205
0.050000,7.216717,12.169949,0.057292,0.625000,4.166667,16.666667,6.281102
0.050000,7.254216,12.169840,0.094792,0.875000,5.000000,16.666667,6.279468
0.050000,7.304216,12.169598,0.144792,1.125000,5.000000,0.000000,6.277203
0.050000,7.366714,12.169132,0.207292,1.375000,5.000000,0.000000,6.274231
0.050000,7.441710,12.168320,0.282292,1.625000,5.000000,0.000000,6.270454
0.050000,7.529200,12.167003,0.369792,1.875000,5.000000,0.000000,6.265750
0.050000,7.629179,12.164974,0.469792,2.125000,5.000000,0.000000,6.259969
0.050000,7.741639,12.161972,0.582292,2.375000,5.000000,0.000000,6.252929
0.050000,7.866564,12.157666,0.707292,2.625000,5.000000,0.000000,6.244410
0.050000,8.003932,12.151642,0.844792,2.875000,5.000000,0.000000,6.234147
0.050000,8.153703,12.143381,0.994792,3.125000,5.000000,0.000000,6.221817
0.050000,8.315819,12.132237,1.157292,3.375000,5.000000,0.000000,6.207028
0.050000,8.489150,12.117502,1.331250,3.583333,4.166667,-16.666667,6.189413
0.050000,8.671490,12.098480,1.514583,3.750000,3.333333,-16.666667,6.168671
0.050000,8.860591,12.074456,1.705208,3.875000,2.500000,-16.666667,6.144500
0.050000,9.054149,12.044735,1.901042,3.958333,1.666667,-16.666667,6.116613
0.050000,9.249807,12.008689,2.100000,4.000000,0.833333,-16.666667,6.084764
0.050000,9.445146,11.965815,2.300000,4.000000,0.000000,-16.666667,6.048790
0.050000,9.638706,11.915526,2.500000,4.000000,0.000000,0.000000,6.008439
0.050000,9.829940,11.857020,2.700000,4.000000,0.000000,0.000000,5.963301
0.050000,10.018163,11.789465,2.900000,4.000000,0.000000,0.000000,5.913006
0.050000,10.202539,11.712037,3.100000,4.000000,0.000000,0.000000,5.857280
0.050000,10.382068,11.623965,3.300000,4.000000,0.000000,0.000000,5.796018
0.050000,10.555594,11.524598,3.500000,4.000000,0.000000,0.000000,5.729375
0.050000,10.721836,11.413483,3.700000,4.000000,0.000000,0.000000,5.657850
0.050000,10.879453,11.290447,3.900000,4.000000,0.000000,0.000000,5.582349
0.050000,11.027140,11.155658,4.100000,4.000000,0.000000,0.000000,5.504166
0.050000,11.163747,11.009653,4.300000,4.000000,0.000000,0.000000,5.424890
0.050000,11.288389,10.853309,4.500000,4.000000,0.000000,0.000000,5.346221
0.050000,11.400523,10.687760,4.700000,4.000000,0.000000,0.000000,5.269761
0.050000,11.499904,10.514427,4.899847,3.993874,-0.122518,-2.450365,5.196883
0.050000,11.586247,10.335733,5.098346,3.946082,-0.955852,-16.666667,5.128902
0.050000,11.659512,10.154981,5.293413,3.856622,-1.789185,-16.666667,5.066882
0.050000,11.720268,9.975455,5.482966,3.725496,-2.622518,-16.666667,5.011330
0.050000,11.769514,9.800309,5.664921,3.552704,-3.455852,-16.666667,4.962323
0.050000,11.808501,9.632519,5.837195,3.338245,-4.289185,-16.666667,4.919659
0.050000,11.838633,9.474717,5.997857,3.088245,-5.000000,-14.216302,4.882952
0.050000,11.861458,9.328329,6.146019,2.838245,-5.000000,-0.000000,4.851557
0.050000,11.878454,9.193740,6.281682,2.588245,-5.000000,0.000000,4.824735
0.050000,11.890847,9.071206,6.404844,2.338245,-5.000000,0.000000,4.801867
0.050000,11.899655,8.960897,6.515506,2.088245,-5.000000,0.000000,4.782443
0.050000,11.905717,8.862924,6.613668,1.838245,-5.000000,0.000000,4.766050
0.050000,11.909722,8.777356,6.699331,1.588245,-5.000000,0.000000,4.752352
0.050000,11.912230,8.704237,6.772493,1.338245,-5.000000,0.000000,4.741078
0.050000,11.913694,8.643592,6.833155,1.088245,-5.000000,0.000000,4.732015
0.050000,11.914470,8.595436,6.881317,0.838245,-5.000000,0.000000,4.724998
0.050000,11.914829,8.559623,6.917133,0.594370,-4.877482,2.450365,4.719878
0.050000,11.914971,8.534959,6.941796,0.392163,-4.044148,16.666667,4.716401
0.050000,11.915017,8.519366,6.957391,0.231622,-3.210815,16.666667,4.714222
0.050000,11.915027,8.510757,6.966000,0.112748,-2.377482,16.666667,4.713026
0.050000,11.915029,8.507048,6.969707,0.035541,-1.544148,16.666667,4.712512
0.050000,11.915029,8.506159,6.970596,0.000000,-0.710815,16.666667,4.712389
0.050000,11.915029,8.506159,6.970596,0.000000,0.000000,14.216302,4.712389
