dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.167376,10.760000,0.001042,0.041667,0.833333,16.666667,0.000267
0.050000,7.167136,10.760000,0.001281,0.004791,-0.737512,-31.416912,0.000097
0.050000,7.173602,10.759999,0.007747,0.129316,2.490498,64.560203,6.282897
0.050000,7.189293,10.759989,0.023438,0.313816,3.690006,23.990161,6.282205
0.050000,7.213780,10.759952,0.047925,0.489735,3.518369,-3.432740,6.281102
0.050000,7.248975,10.759850,0.083120,0.703909,4.283488,15.302374,6.279468
0.050000,7.295780,10.759623,0.129926,0.936118,4.644171,7.213664,6.277203
0.050000,7.354088,10.759189,0.188235,1.166191,4.601467,-0.854086,6.274231
0.050000,7.423759,10.758435,0.257910,1.393495,4.546085,-1.107633,6.270454
0.050000,7.504617,10.757217,0.338778,1.617349,4.477067,-1.380358,6.265750
0.050000,7.596447,10.755354,0.430627,1.836981,4.392652,-1.688304,6.259969
0.050000,7.698984,10.752617,0.533200,2.051470,4.289782,-2.057405,6.252929
0.050000,7.811905,10.748726,0.646188,2.259761,4.165809,-2.479453,6.244410
0.050000,7.934815,10.743337,0.769216,2.460555,4.015878,-2.998614,6.234147
0.050000,8.067227,10.736035,0.901829,2.652266,3.834222,-3.633120,6.221817
0.050000,8.208541,10.726324,1.043476,2.832944,3.613572,-4.413005,6.207028
0.050000,8.357125,10.713697,1.192596,2.982385,2.988806,-12.495316,6.189413
0.050000,8.510378,10.697715,1.346680,3.081694,1.986196,-20.052211,6.168671
0.050000,8.665671,10.677994,1.503220,3.130798,0.982079,-20.082329,6.144500
0.050000,8.820366,10.654251,1.659727,3.130129,-0.013387,-19.909317,6.116613
0.050000,8.971865,10.626355,1.813772,3.080907,-0.984435,-19.420962,6.084764
0.050000,9.117667,10.594371,1.963042,2.985391,-1.910331,-18.517916,6.048790
0.050000,9.256169,10.558410,2.106136,2.861890,-2.470007,-11.193526,6.008439
0.050000,9.386555,10.518547,2.242480,2.726871,-2.700390,-4.607672,5.963301
0.050000,9.508049,10.474975,2.371551,2.581419,-2.909041,-4.173006,5.913006
0.050000,9.620004,10.427999,2.492962,2.428221,-3.063961,-3.098411,5.857280
0.050000,9.722013,10.378001,2.606564,2.272053,-3.123346,-1.187683,5.796018
0.050000,9.814030,10.325356,2.712577,2.120253,-3.036001,1.746894,5.729375
0.050000,9.896466,10.270301,2.811707,1.982589,-2.753289,5.654232,5.657850
0.050000,9.970204,10.212779,2.905227,1.870413,-2.243528,10.195231,5.582349
0.050000,10.036500,10.152298,2.994966,1.794783,-1.512601,14.618532,5.504166
0.050000,10.096759,10.087897,3.083163,1.763942,-0.616810,17.915822,5.424890
0.050000,10.152262,10.018255,3.172217,1.781080,0.342757,19.191342,5.346221
0.050000,10.203929,9.941929,3.264386,1.843375,1.245899,18.062844,5.269761
0.050000,10.252179,9.857704,3.361453,1.941328,1.959060,14.263206,5.196883
0.050000,10.296794,9.765283,3.464079,2.052521,2.223868,5.296174,5.128902
0.050000,10.337182,9.665549,3.571680,2.152038,1.990344,-4.670489,5.066882
0.050000,10.372804,9.560198,3.682890,2.224196,1.443158,-10.943714,5.011330
0.050000,10.403324,9.451559,3.795735,2.256895,0.653974,-15.783681,4.962323
0.050000,10.428681,9.342356,3.907843,2.242167,-0.294561,-18.970704,4.919659
0.050000,10.449093,9.235388,4.016741,2.177961,-1.284115,-19.791071,4.882952
0.050000,10.465091,9.132735,4.120634,2.077847,-2.002283,-14.363365,4.851557
0.050000,10.477343,9.035665,4.218474,1.956799,-2.420960,-8.373537,4.824735
0.050000,10.486488,8.945211,4.309389,1.818303,-2.769931,-6.979429,4.801867
0.050000,10.493113,8.862201,4.392663,1.665473,-3.056596,-5.733303,4.782443
0.050000,10.497747,8.787297,4.467710,1.500940,-3.290662,-4.681304,4.766050
0.050000,10.500847,8.721023,4.534056,1.326936,-3.480082,-3.788410,4.752352
0.050000,10.502810,8.663791,4.591322,1.145316,-3.632392,-3.046195,4.741078
0.050000,10.503966,8.615920,4.639207,0.957692,-3.752482,-2.401800,4.732015
0.050000,10.504582,8.577658,4.677474,0.765349,-3.846866,-1.887690,4.724998
0.050000,10.504869,8.549063,4.706070,0.571921,-3.868547,-0.433621,4.719878
0.050000,10.504982,8.529302,4.725832,0.395231,-3.533800,6.694954,4.716401
0.050000,10.505019,8.516781,4.738353,0.250426,-2.896100,12.753983,4.714222
0.050000,10.505028,8.509859,4.745275,0.138446,-2.239597,13.130060,4.713026
0.050000,10.505029,8.506874,4.748259,0.059681,-1.575307,13.285801,4.712512
0.050000,10.505029,8.506159,4.748975,0.014313,-0.907352,13.359105,4.712389
0.050000,10.505029,8.506159,4.748975,0.000000,-0.286268,12.421693,4.712389
