dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001335,1.409999,0.001042,0.041667,0.833333,16.666667,6.282238
0.050000,0.001042,1.410000,0.001335,0.005865,-0.716031,-30.987296,6.282446
0.050000,0.000382,1.410000,0.001995,0.013205,0.146806,17.256751,6.282915
0.050000,0.010458,1.410003,0.012072,0.201534,3.766579,72.395464,0.000563
0.050000,0.034656,1.410032,0.036270,0.483956,5.648437,37.637161,0.001870
0.050000,0.069491,1.410130,0.071104,0.696691,4.254701,-27.874726,0.003761
0.050000,0.115912,1.410364,0.117526,0.928434,4.634853,7.603045,0.006299
0.050000,0.173899,1.410822,0.175515,1.159788,4.627076,-0.155551,0.009498
0.050000,0.243424,1.411617,0.245045,1.390586,4.615967,-0.222171,0.013377
0.050000,0.324454,1.412886,0.326084,1.620794,4.604155,-0.236240,0.017959
0.050000,0.416944,1.414792,0.418594,1.850186,4.587834,-0.326420,0.023272
0.050000,0.520843,1.417525,0.522529,2.078709,4.570464,-0.347404,0.029346
0.050000,0.636087,1.421303,0.637835,2.306109,4.548000,-0.449274,0.036220
0.050000,0.762605,1.426375,0.764454,2.532392,4.525668,-0.446641,0.043937
0.050000,0.900304,1.433020,0.902314,2.757203,4.496208,-0.589207,0.052546
0.050000,1.049084,1.441555,1.051339,2.980492,4.465785,-0.608463,0.062104
0.050000,1.207865,1.452262,1.210480,3.182832,4.046809,-8.379512,0.072611
0.050000,1.374623,1.465342,1.377750,3.345400,3.251354,-15.909103,0.084003
0.050000,1.547334,1.480941,1.551164,3.468275,2.457504,-15.877001,0.096208
0.050000,1.723997,1.499137,1.728762,3.551946,1.673424,-15.681595,0.109141
0.050000,1.902620,1.519929,1.908591,3.596588,0.892830,-15.611885,0.122707
0.050000,2.081244,1.543229,2.088728,3.602747,0.123179,-15.393024,0.136792
0.050000,2.258869,1.568989,2.268211,3.589661,-0.261708,-7.697739,0.151343
0.050000,2.435420,1.597266,2.447012,3.576012,-0.272998,-0.225792,0.166376
0.050000,2.610825,1.628116,2.625110,3.561953,-0.281164,-0.163333,0.181909
0.050000,2.785006,1.661593,2.802479,3.547386,-0.291354,-0.203785,0.197957
0.050000,2.957886,1.697754,2.979100,3.532423,-0.299246,-0.157841,0.214536
0.050000,3.129380,1.736652,3.154950,3.516998,-0.308508,-0.185253,0.231662
0.050000,3.299400,1.778341,3.330007,3.501139,-0.317171,-0.173246,0.249350
0.050000,3.467861,1.822871,3.504253,3.484928,-0.324227,-0.141117,0.267614
0.050000,3.634668,1.870293,3.677670,3.468332,-0.331921,-0.153884,0.286466
0.050000,3.799725,1.920653,3.850239,3.451391,-0.338826,-0.138106,0.305917
0.050000,3.962943,1.973998,4.021953,3.434276,-0.342294,-0.069355,0.325977
0.050000,4.124220,2.030368,4.192798,3.416895,-0.347621,-0.106553,0.346653
0.050000,4.283460,2.089805,4.362769,3.399412,-0.349659,-0.040743,0.367948
0.050000,4.440565,2.152345,4.531864,3.381907,-0.350107,-0.008964,0.389863
0.050000,4.595439,2.218020,4.700087,3.364468,-0.348778,0.026576,0.412397
0.050000,4.747985,2.286859,4.867447,3.347199,-0.345371,0.068149,0.435544
0.050000,4.898110,2.358890,5.033958,3.330220,-0.339589,0.115627,0.459291
0.050000,5.045725,2.434133,5.199644,3.313712,-0.330154,0.188698,0.483625
0.050000,5.190741,2.512607,5.364531,3.297737,-0.319495,0.213196,0.508525
0.050000,5.333076,2.594328,5.528657,3.282532,-0.304117,0.307542,0.533964
0.050000,5.472651,2.679306,5.692066,3.268177,-0.287095,0.340441,0.559912
0.050000,5.609394,2.767549,5.854810,3.254873,-0.266074,0.420423,0.586331
0.050000,5.743239,2.859061,6.016948,3.242771,-0.242041,0.480661,0.613180
0.050000,5.874125,2.953843,6.178549,3.232018,-0.215058,0.539655,0.640409
