dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,0.000000,0.001042,0.041667,0.833333,16.666667,6.282238
0.050000,0.000000,0.000000,0.005208,0.125000,1.666667,16.666667,6.282446
0.050000,0.000000,0.000000,0.014583,0.250000,2.500000,16.666667,6.282915
0.050000,0.011252,0.000003,0.031250,0.416667,3.333333,16.666667,0.000563
0.050000,0.037293,0.000035,0.057292,0.625000,4.166667,16.666667,0.001870
0.050000,0.074793,0.000140,0.094792,0.875000,5.000000,16.666667,0.003761
0.050000,0.125835,0.000398,0.145833,1.166667,5.833333,16.666667,0.006352
0.050000,0.192499,0.000935,0.212500,1.500000,6.666667,16.666667,0.009766
0.050000,0.276866,0.001943,0.296875,1.875000,7.500000,16.666667,0.014137
0.050000,0.381019,0.003700,0.401042,2.291667,8.333333,16.666667,0.019611
0.050000,0.507028,0.006595,0.527083,2.750000,9.166667,16.666667,0.026352
0.050000,0.656958,0.011160,0.677083,3.250000,10.000000,16.666667,0.034547
0.050000,0.831822,0.018057,0.852083,3.750000,10.000000,0.000000,0.044351
0.050000,1.031567,0.028071,1.052083,4.250000,10.000000,0.000000,0.055888
0.050000,1.256126,0.042137,1.277083,4.750000,10.000000,0.000000,0.069308
0.050000,1.505384,0.061368,1.527083,5.250000,10.000000,0.000000,0.084792
0.050000,1.778140,0.086965,1.801042,5.708333,9.166667,-16.666667,0.102486
0.050000,2.072102,0.120149,2.096875,6.125000,8.333333,-16.666667,0.122490
0.050000,2.384907,0.162193,2.412500,6.500000,7.500000,-16.666667,0.144918
0.050000,2.714117,0.214406,2.745833,6.833333,6.666667,-16.666667,0.169891
0.050000,3.057200,0.278107,3.094792,7.125000,5.833333,-16.666667,0.197532
0.050000,3.411525,0.354591,3.457292,7.375000,5.000000,-16.666667,0.227959
0.050000,3.774348,0.445092,3.831250,7.583333,4.166667,-16.666667,0.261270
0.050000,4.142816,0.550736,4.214583,7.750000,3.333333,-16.666667,0.297536
0.050000,4.513959,0.672478,4.605208,7.875000,2.500000,-16.666667,0.336776
0.050000,4.884716,0.811041,5.001042,7.958333,1.666667,-16.666667,0.378942
0.050000,5.251960,0.966835,5.400000,8.000000,0.833333,-16.666667,0.423895
0.050000,5.612549,1.139884,5.800000,8.000000,0.000000,-16.666667,0.471386
0.050000,5.964291,1.330263,6.200000,8.000000,0.000000,0.000000,0.521179
0.050000,6.305897,1.538276,6.600000,8.000000,0.000000,0.000000,0.573065
0.050000,6.636042,1.764031,7.000000,8.000000,0.000000,0.000000,0.626750
0.050000,6.953416,2.007410,7.400000,8.000000,0.000000,0.000000,0.681852
0.050000,7.256766,2.268056,7.800000,8.000000,0.000000,0.000000,0.737916
0.050000,7.544960,2.545368,8.200000,8.000000,0.000000,0.000000,0.794431
0.050000,7.817029,2.838516,8.600000,8.000000,0.000000,0.000000,0.850859
0.050000,8.072214,3.146475,9.000000,8.000000,0.000000,0.000000,0.906669
0.050000,8.309992,3.468067,9.400000,8.000000,0.000000,0.000000,0.961365
0.050000,8.530082,3.802016,9.800000,8.000000,0.000000,0.000000,1.014513
0.050000,8.732443,4.147003,10.200000,8.000000,0.000000,0.000000,1.065759
0.050000,8.917246,4.501708,10.600000,8.000000,0.000000,0.000000,1.114835
0.050000,9.084696,4.864506,10.999615,7.984610,-0.307801,-6.156011,1.161518
0.050000,9.234839,5.232853,11.397419,7.927553,-1.141134,-16.666667,1.205562
0.050000,9.367840,5.603600,11.791329,7.828830,-1.974467,-16.666667,1.246758
0.050000,9.484225,5.973638,12.179261,7.688440,-2.807801,-16.666667,1.285001
0.050000,9.584805,6.339930,12.559131,7.506383,-3.641134,-16.666667,1.320265
0.050000,9.670605,6.699545,12.928857,7.282660,-4.474467,-16.666667,1.352591
