dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-3.527366,11.469860,0.000004,0.000397,0.019837,0.991866,0.298354
0.020000,-3.527367,11.469860,0.000005,0.000052,-0.017220,-1.852848,0.298354
0.020000,-3.527369,11.469859,0.000007,0.000118,0.003272,1.024586,0.298354
0.020000,-3.527373,11.469858,0.000012,0.000209,0.004581,0.065442,0.298354
0.020000,-3.527379,11.469856,0.000018,0.000327,0.005890,0.065442,0.298355
0.020000,-3.527388,11.469853,0.000028,0.000471,0.007199,0.065442,0.298356
0.020000,-3.527400,11.469849,0.000040,0.000641,0.008507,0.065443,0.298357
0.020000,-3.527416,11.469845,0.000057,0.000838,0.009816,0.065444,0.298358
0.020000,-3.527437,11.469838,0.000078,0.001060,0.011125,0.065445,0.298360
0.020000,-3.527462,11.469831,0.000104,0.001309,0.012434,0.065446,0.298362
0.020000,-3.527492,11.469821,0.000136,0.001584,0.013743,0.065448,0.298365
0.020000,-3.527528,11.469810,0.000174,0.001885,0.015052,0.065450,0.298368
0.020000,-3.527570,11.469797,0.000218,0.002212,0.016361,0.065453,0.298372
0.020000,-3.527619,11.469782,0.000269,0.002565,0.017670,0.065456,0.298376
0.020000,-3.527676,11.469765,0.000328,0.002945,0.018979,0.065459,0.298381
0.020000,-3.527740,11.469745,0.000395,0.003351,0.020289,0.065463,0.298386
0.020000,-3.527812,11.469723,0.000471,0.003783,0.021598,0.065468,0.298393
0.020000,-3.527893,11.469698,0.000556,0.004241,0.022908,0.065473,0.298400
0.020000,-3.527983,11.469670,0.000650,0.004725,0.024217,0.065479,0.298408
0.020000,-3.528083,11.469639,0.000755,0.005236,0.025527,0.065486,0.298416
0.020000,-3.528194,11.469605,0.000870,0.005772,0.026837,0.065494,0.298426
0.020000,-3.528315,11.469568,0.000997,0.006335,0.028147,0.065502,0.298437
0.020000,-3.528447,11.469527,0.001136,0.006925,0.029457,0.065511,0.298448
0.020000,-3.528591,11.469483,0.001286,0.007540,0.030767,0.065521,0.298461
0.020000,-3.528748,11.469435,0.001450,0.008181,0.032078,0.065532,0.298474
0.020000,-3.528917,11.469383,0.001627,0.008849,0.033389,0.065543,0.298489
0.020000,-3.529099,11.469327,0.001818,0.009543,0.034700,0.065556,0.298505
0.020000,-3.529296,11.469266,0.002023,0.010263,0.036011,0.065570,0.298522
0.020000,-3.529506,11.469202,0.002243,0.011010,0.037323,0.065585,0.298540
0.020000,-3.529731,11.469132,0.002479,0.011783,0.038635,0.065600,0.298560
