dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.001335,-1.409999,0.001042,0.041667,0.833333,16.666667,6.282238
0.050000,-0.001042,-1.410000,0.001335,0.005865,-0.716031,-30.987296,6.282446
0.050000,-0.000382,-1.410000,0.001995,0.013205,0.146806,17.256751,6.282915
0.050000,0.012046,-1.409997,0.014423,0.248564,4.707171,91.207302,0.000563
0.050000,0.039929,-1.409963,0.042306,0.557658,6.181883,29.494242,0.001870
0.050000,0.080096,-1.409850,0.082473,0.803338,4.913588,-25.365912,0.003761
0.050000,0.134790,-1.409573,0.137168,1.093901,5.811271,17.953669,0.006352
0.050000,0.206269,-1.408997,0.208649,1.429615,6.714270,18.059972,0.009766
0.050000,0.296798,-1.407916,0.299185,1.810721,7.622132,18.157247,0.014137
0.050000,0.408669,-1.406029,0.411071,2.237725,8.540069,18.358736,0.019611
0.050000,0.544180,-1.402915,0.546618,2.710937,9.464250,18.483625,0.026352
0.050000,0.705659,-1.397999,0.708172,3.231085,10.402966,18.774321,0.034547
0.050000,0.894336,-1.390556,0.896995,3.776460,10.907495,10.090580,0.044351
0.050000,1.110328,-1.379728,1.113259,4.325276,10.976323,1.376554,0.055888
0.050000,1.353772,-1.364478,1.357181,4.878430,11.063081,1.735162,0.069308
0.050000,1.624798,-1.343567,1.629012,5.436619,11.163777,2.013922,0.084792
0.050000,1.922392,-1.315636,1.927914,5.978044,10.828495,-6.705637,0.102486
0.050000,2.244381,-1.279286,2.251948,6.480688,10.052883,-15.512240,0.122490
0.050000,2.588527,-1.233027,2.599189,6.944821,9.282660,-15.404473,0.144918
0.050000,2.952513,-1.175294,2.967725,7.370711,8.517804,-15.297114,0.169891
0.050000,3.333913,-1.104474,3.355644,7.758383,7.753438,-15.287319,0.197532
0.050000,3.730170,-1.018932,3.761030,8.107714,6.986615,-15.336460,0.227959
0.050000,4.138562,-0.917057,4.181937,8.418137,6.208454,-15.563226,0.261270
0.050000,4.556179,-0.797311,4.616382,8.688917,5.415603,-15.857020,0.297536
0.050000,4.979888,-0.658315,5.062307,8.918496,4.591582,-16.480414,0.336776
0.050000,5.406328,-0.498929,5.517560,9.105053,3.731133,-17.208973,0.378942
0.050000,5.831912,-0.318371,5.979862,9.246034,2.819629,-18.230084,0.423895
0.050000,6.252861,-0.116341,6.446782,9.338404,1.847392,-19.444748,0.471386
0.050000,6.666334,0.107465,6.916940,9.403168,1.295289,-11.042045,0.521179
0.050000,7.070413,0.353534,7.390046,9.462124,1.179125,-2.323293,0.573065
0.050000,7.463029,0.622018,7.865684,9.512759,1.012694,-3.328621,0.626750
0.050000,7.842043,0.912677,8.343318,9.552677,0.798355,-4.286782,0.681852
0.050000,8.205340,1.224836,8.822305,9.579741,0.541285,-5.141391,0.737916
0.050000,8.550945,1.557393,9.301927,9.592427,0.253726,-5.751179,0.794431
0.050000,8.877133,1.908850,9.781427,9.590000,-0.048551,-6.045552,0.850859
0.050000,9.182526,2.277390,10.260057,9.572601,-0.347982,-5.988617,0.906669
0.050000,9.466155,2.660981,10.737118,9.541233,-0.627353,-5.587408,0.961365
0.050000,9.727487,3.057489,11.212000,9.497640,-0.871865,-4.890244,1.014513
0.050000,9.966413,3.464788,11.684205,9.444102,-1.070759,-3.977892,1.065759
0.050000,10.183197,3.880848,12.153355,9.382999,-1.222055,-3.025907,1.114835
0.050000,10.378242,4.303400,12.618750,9.307901,-1.501957,-5.598049,1.161518
0.050000,10.551836,4.729246,13.078620,9.197386,-2.210313,-14.167117,1.205562
0.050000,10.704460,5.154661,13.530584,9.039280,-3.162103,-19.035804,1.246758
0.050000,10.837032,5.576129,13.972411,8.836541,-4.054782,-17.853568,1.285001
0.050000,10.950786,5.990364,14.401981,8.591413,-4.902559,-16.955543,1.320265
0.050000,11.047170,6.394312,14.817268,8.305733,-5.713598,-16.220785,1.352591
