dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.001335,21.409999,0.001042,0.041667,0.833333,16.666667,0.000947
0.050000,-0.001042,21.410000,0.001335,0.005865,-0.716031,-30.987296,0.000739
0.050000,-0.000382,21.410000,0.001995,0.013205,0.146806,17.256751,0.000271
0.050000,0.012046,21.409997,0.014423,0.248564,4.707171,91.207302,6.282622
0.050000,0.039929,21.409963,0.042306,0.557658,6.181883,29.494242,6.281315
0.050000,0.080096,21.409850,0.082473,0.803338,4.913588,-25.365912,6.279425
0.050000,0.133674,21.409580,0.136051,1.071566,5.364575,9.019745,6.276887
0.050000,0.200683,21.409051,0.203063,1.340230,5.373283,0.174157,6.273687
0.050000,0.281147,21.408131,0.283532,1.609379,5.382981,0.193966,6.269808
0.050000,0.375097,21.406659,0.377493,1.879229,5.396997,0.280315,6.265226
0.050000,0.482564,21.404444,0.484983,2.149793,5.411280,0.285661,6.259914
0.050000,0.603587,21.401260,0.606048,2.421307,5.430271,0.379818,6.253839
0.050000,0.738205,21.396847,0.740738,2.693796,5.449777,0.390116,6.246965
0.050000,0.886466,21.390904,0.889119,2.967620,5.476494,0.534344,6.239249
0.050000,1.048416,21.383088,1.051257,3.242752,5.502636,0.522837,6.230639
0.050000,1.224105,21.373008,1.227235,3.519563,5.536224,0.671757,6.221081
0.050000,1.412449,21.360307,1.416007,3.775433,5.117395,-8.376568,6.210574
0.050000,1.611234,21.344714,1.615403,3.987917,4.249675,-17.354395,6.199182
0.050000,1.818221,21.326019,1.823232,4.156599,3.373646,-17.520578,6.186978
0.050000,2.031164,21.304084,2.037302,4.281393,2.495868,-17.555559,6.174044
0.050000,2.247785,21.278867,2.255386,4.361676,1.605676,-17.803855,6.160479
0.050000,2.465795,21.250428,2.475242,4.397129,0.709051,-17.932497,6.146394
0.050000,2.684028,21.218777,2.695759,4.410339,0.264208,-8.896850,6.131843
0.050000,2.902439,21.183794,2.916954,4.423894,0.271091,0.137651,6.116809
0.050000,3.120983,21.145355,3.138853,4.437984,0.281795,0.214085,6.101276
0.050000,3.339605,21.103334,3.361477,4.452474,0.289803,0.160163,6.085229
0.050000,3.558248,21.057598,3.584851,4.467489,0.300295,0.209839,6.068649
0.050000,3.776840,21.008014,3.808997,4.482911,0.308439,0.162878,6.051523
0.050000,3.995305,20.954445,4.033933,4.498731,0.316415,0.159523,6.033835
0.050000,4.213557,20.896750,4.259683,4.514992,0.325220,0.176092,6.015571
0.050000,4.431499,20.834788,4.486262,4.531572,0.331601,0.127621,5.996719
0.050000,4.649020,20.768418,4.713683,4.548421,0.336964,0.107270,5.977268
0.050000,4.866005,20.697496,4.941965,4.565640,0.344388,0.148474,5.957208
0.050000,5.082319,20.621884,5.171113,4.582959,0.346382,0.039869,5.936533
0.050000,5.297817,20.541445,5.401134,4.600421,0.349230,0.056966,5.915238
