dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,20.000000,0.000613,0.024510,0.490196,9.803922,0.000968
0.050000,0.000000,20.000000,0.003064,0.073529,0.980392,9.803922,0.000846
0.050000,0.000000,20.000000,0.008578,0.147059,1.470588,9.803922,0.000571
0.050000,0.000000,20.000000,0.018382,0.245098,1.960784,9.803922,0.000081
0.050000,0.013703,19.999995,0.033701,0.367647,2.450980,9.803922,6.282499
0.050000,0.035761,19.999968,0.055760,0.514706,2.941176,9.803922,6.281392
0.050000,0.065786,19.999891,0.085784,0.686275,3.431373,9.803922,6.279880
0.050000,0.105001,19.999723,0.125000,0.882353,3.921569,9.803922,6.277894
0.050000,0.154633,19.999398,0.174632,1.102941,4.411765,9.803922,6.275363
0.050000,0.215904,19.998822,0.235907,1.348039,4.901961,9.803922,6.272213
0.050000,0.290041,19.997866,0.310049,1.617647,5.392157,9.803922,6.268361
0.050000,0.378262,19.996354,0.398284,1.911765,5.882353,9.803922,6.263721
0.050000,0.481179,19.994068,0.501225,2.205882,5.882353,0.000000,6.258227
0.050000,0.598779,19.990758,0.618873,2.500000,5.882353,-0.000000,6.251841
0.050000,0.731050,19.986127,0.751225,2.794118,5.882353,0.000000,6.244518
0.050000,0.877973,19.979834,0.898284,3.088235,5.882353,0.000000,6.236202
0.050000,1.039523,19.971482,1.060049,3.382353,5.882353,-0.000000,6.226830
0.050000,1.215046,19.960663,1.235907,3.651961,5.392157,-9.803922,6.216369
0.050000,1.403273,19.946980,1.424632,3.897059,4.901961,-9.803922,6.204813
0.050000,1.602923,19.930036,1.625000,4.117647,4.411765,-9.803922,6.192158
0.050000,1.812696,19.909440,1.835784,4.313725,3.921569,-9.803922,6.178399
0.050000,2.031287,19.884817,2.055760,4.485294,3.431373,-9.803922,6.163533
0.050000,2.257372,19.855813,2.283701,4.632353,2.941176,-9.803922,6.147559
0.050000,2.489619,19.822110,2.518382,4.754902,2.450980,-9.803922,6.130481
0.050000,2.726677,19.783433,2.758578,4.852941,1.960784,-9.803922,6.112312
0.050000,2.967190,19.739560,3.003064,4.926471,1.470588,-9.803922,6.093072
0.050000,3.209790,19.690336,3.250613,4.975490,0.980392,-9.803922,6.072794
0.050000,3.453110,19.635681,3.500000,5.000000,0.490196,-9.803922,6.051523
0.050000,3.695778,19.575604,3.750000,5.000000,0.000000,-9.803922,6.029323
0.050000,3.937025,19.510047,4.000000,5.000000,0.000000,0.000000,6.006219
0.050000,4.176658,19.438823,4.250000,5.000000,0.000000,0.000000,5.982187
0.050000,4.414474,19.361749,4.500000,5.000000,0.000000,0.000000,5.957208
0.050000,4.650250,19.278647,4.750000,5.000000,0.000000,0.000000,5.931267
0.050000,4.883748,19.189344,5.000000,5.000000,0.000000,0.000000,5.904357
0.050000,5.114711,19.093680,5.250000,5.000000,0.000000,0.000000,5.876479
0.050000,5.342869,18.991504,5.500000,5.000000,0.000000,0.000000,5.847642
0.050000,5.567934,18.882687,5.750000,5.000000,0.000000,0.000000,5.817865
0.050000,5.789605,18.767116,6.000000,5.000000,0.000000,0.000000,5.787179
0.050000,6.007573,18.644704,6.250000,5.000000,0.000000,0.000000,5.755630
0.050000,6.221518,18.515390,6.500000,5.000000,0.000000,0.000000,5.723273
0.050000,6.431116,18.379144,6.750000,5.000000,0.000000,0.000000,5.690180
0.050000,6.636042,18.235969,7.000000,5.000000,0.000000,0.000000,5.656435
0.050000,6.835979,18.085905,7.250000,5.000000,0.000000,0.000000,5.622135
0.050000,7.030615,17.929028,7.500000,5.000000,0.000000,0.000000,5.587388
0.050000,7.219655,17.765451,7.750000,5.000000,0.000000,0.000000,5.552313
0.050000,7.402823,17.595324,8.000000,5.000000,0.000000,0.000000,5.517035
0.050000,7.579868,17.418835,8.250000,5.000000,0.000000,0.000000,5.481685
0.050000,7.750569,17.236203,8.500000,5.000000,0.000000,0.000000,5.446396
0.050000,7.914735,17.047675,8.750000,5.000000,0.000000,0.000000,5.411297
0.050000,8.072214,16.853525,9.000000,5.000000,0.000000,0.000000,5.376516
0.050000,8.222888,16.654049,9.250000,5.000000,0.000000,0.000000,5.342172
0.050000,8.366679,16.449553,9.500000,5.000000,0.000000,0.000000,5.308373
0.050000,8.503542,16.240358,9.750000,5.000000,0.000000,0.000000,5.275218
0.050000,8.633472,16.026787,10.000000,5.000000,0.000000,0.000000,5.242793
0.050000,8.756497,15.809165,10.250000,5.000000,0.000000,0.000000,5.211169
0.050000,8.872674,15.587809,10.500000,5.000000,0.000000,0.000000,5.180405
0.050000,8.982088,15.363034,10.750000,5.000000,0.000000,0.000000,5.150546
0.050000,9.084849,15.135141,11.000000,5.000000,0.000000,0.000000,5.121624
0.050000,9.181088,14.904415,11.250000,5.000000,0.000000,0.000000,5.093659
0.050000,9.270951,14.671132,11.500000,5.000000,0.000000,0.000000,5.066663
0.050000,9.354599,14.435549,11.750000,5.000000,0.000000,0.000000,5.040636
0.050000,9.432201,14.197906,12.000000,5.000000,0.000000,0.000000,5.015572
0.050000,9.503939,13.958426,12.250000,5.000000,0.000000,0.000000,4.991456
0.050000,9.569993,13.717316,12.500000,5.000000,0.000000,0.000000,4.968271
0.050000,9.630550,13.474767,12.750000,5.000000,0.000000,0.000000,4.945992
0.050000,9.685669,13.231546,12.999393,4.975711,-0.485773,-9.715461,4.924644
