dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001335,18.590001,0.001042,0.041667,0.833333,16.666667,0.000947
0.050000,0.001042,18.590000,0.001335,0.005865,-0.716031,-30.987296,0.000739
0.050000,0.000382,18.590000,0.001995,0.013205,0.146806,17.256751,0.000271
0.050000,0.010458,18.589997,0.012072,0.201534,3.766579,72.395464,6.282622
0.050000,0.034656,18.589968,0.036270,0.483956,5.648437,37.637161,6.281315
0.050000,0.069491,18.589870,0.071104,0.696691,4.254701,-27.874726,6.279425
0.050000,0.115912,18.589636,0.117526,0.928434,4.634853,7.603045,6.276887
0.050000,0.173899,18.589178,0.175515,1.159788,4.627076,-0.155551,6.273687
0.050000,0.243424,18.588383,0.245045,1.390586,4.615967,-0.222171,6.269808
0.050000,0.324454,18.587114,0.326084,1.620794,4.604155,-0.236240,6.265226
0.050000,0.416944,18.585208,0.418594,1.850186,4.587834,-0.326420,6.259914
0.050000,0.520843,18.582475,0.522529,2.078709,4.570464,-0.347404,6.253839
0.050000,0.636087,18.578697,0.637835,2.306109,4.548000,-0.449274,6.246965
0.050000,0.762605,18.573625,0.764454,2.532392,4.525668,-0.446641,6.239249
0.050000,0.900304,18.566980,0.902314,2.757203,4.496208,-0.589207,6.230639
0.050000,1.049084,18.558445,1.051339,2.980492,4.465785,-0.608463,6.221081
0.050000,1.207865,18.547738,1.210480,3.182832,4.046809,-8.379512,6.210574
0.050000,1.374623,18.534658,1.377750,3.345400,3.251354,-15.909103,6.199182
0.050000,1.547334,18.519059,1.551164,3.468275,2.457504,-15.877001,6.186978
0.050000,1.723997,18.500863,1.728762,3.551946,1.673424,-15.681595,6.174044
0.050000,1.902620,18.480071,1.908591,3.596588,0.892830,-15.611885,6.160479
0.050000,2.081244,18.456771,2.088728,3.602747,0.123179,-15.393024,6.146394
0.050000,2.258869,18.431011,2.268211,3.589661,-0.261708,-7.697739,6.131843
0.050000,2.435420,18.402734,2.447012,3.576012,-0.272998,-0.225792,6.116809
0.050000,2.610825,18.371884,2.625110,3.561953,-0.281164,-0.163333,6.101276
0.050000,2.785006,18.338407,2.802479,3.547386,-0.291354,-0.203785,6.085229
0.050000,2.957886,18.302246,2.979100,3.532423,-0.299246,-0.157841,6.068649
0.050000,3.129380,18.263348,3.154950,3.516998,-0.308508,-0.185253,6.051523
0.050000,3.299400,18.221659,3.330007,3.501139,-0.317171,-0.173246,6.033835
0.050000,3.467861,18.177129,3.504253,3.484928,-0.324227,-0.141117,6.015571
0.050000,3.634668,18.129707,3.677670,3.468332,-0.331921,-0.153884,5.996719
0.050000,3.799725,18.079347,3.850239,3.451391,-0.338826,-0.138106,5.977268
0.050000,3.962943,18.026002,4.021953,3.434276,-0.342294,-0.069355,5.957208
0.050000,4.124220,17.969632,4.192798,3.416895,-0.347621,-0.106553,5.936533
0.050000,4.283460,17.910195,4.362769,3.399412,-0.349659,-0.040743,5.915238
0.050000,4.440565,17.847655,4.531864,3.381907,-0.350107,-0.008964,5.893322
0.050000,4.595439,17.781980,4.700087,3.364468,-0.348778,0.026576,5.870788
0.050000,4.747985,17.713141,4.867447,3.347199,-0.345371,0.068149,5.847642
0.050000,4.898110,17.641110,5.033958,3.330220,-0.339589,0.115627,5.823894
0.050000,5.045725,17.565867,5.199644,3.313712,-0.330154,0.188698,5.799560
0.050000,5.190741,17.487393,5.364531,3.297737,-0.319495,0.213196,5.774661
0.050000,5.333076,17.405672,5.528657,3.282532,-0.304117,0.307542,5.749221
0.050000,5.472651,17.320694,5.692066,3.268177,-0.287095,0.340441,5.723273
0.050000,5.609394,17.232451,5.854810,3.254873,-0.266074,0.420423,5.696854
0.050000,5.743239,17.140939,6.016948,3.242771,-0.242041,0.480661,5.670006
0.050000,5.874125,17.046157,6.178549,3.232018,-0.215058,0.539655,5.642776
0.050000,6.001997,16.948106,6.339687,3.222751,-0.185334,0.594494,5.615218
0.050000,6.126808,16.846793,6.500442,3.215100,-0.153037,0.645935,5.587388
0.050000,6.248515,16.742225,6.660900,3.209169,-0.118606,0.688625,5.559348
0.050000,6.367081,16.634415,6.821153,3.205048,-0.082428,0.723556,5.531162
0.050000,6.482475,16.523379,6.981293,3.202797,-0.045013,0.748293,5.502896
0.050000,6.594672,16.409138,7.141415,3.202452,-0.006913,0.762008,5.474618
0.050000,6.703649,16.291714,7.301616,3.204016,0.031294,0.764132,5.446396
0.050000,6.809389,16.171138,7.461989,3.207467,0.069023,0.754577,5.418296
0.050000,6.911880,16.047444,7.622627,3.212753,0.105710,0.733740,5.390383
0.050000,7.011110,15.920673,7.783617,3.219794,0.140833,0.702476,5.362720
0.050000,7.107074,15.790870,7.945041,3.228491,0.173935,0.662036,5.335365
0.050000,7.199767,15.658087,8.106977,3.238723,0.204634,0.613984,5.308373
0.050000,7.289191,15.522384,8.269495,3.250355,0.232639,0.560097,5.281793
0.050000,7.375347,15.383823,8.432657,3.263243,0.257752,0.502252,5.255671
0.050000,7.458244,15.242477,8.596519,3.277236,0.279868,0.442327,5.230044
0.050000,7.537889,15.098420,8.761127,3.292152,0.298312,0.368872,5.204946
0.050000,7.614298,14.951735,8.926520,3.307863,0.314232,0.318402,5.180405
