dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.001998,6.409999,0.001042,0.041667,0.833333,16.666667,0.001417
0.050000,-0.000854,6.410000,0.002186,0.022880,-0.375724,-24.181140,0.000606
0.050000,0.007977,6.409995,0.011017,0.176626,3.074906,69.012599,6.281969
0.050000,0.029196,6.409935,0.032236,0.424370,4.954892,37.599722,6.278740
0.050000,0.062308,6.409705,0.065349,0.662265,4.757896,-3.939935,6.273725
0.050000,0.109899,6.409084,0.112944,0.951897,5.792638,20.694850,6.266566
0.050000,0.173179,6.407733,0.176237,1.265877,6.279594,9.739109,6.257137
0.050000,0.251982,6.405222,0.255081,1.576875,6.219959,-1.192695,6.245545
0.050000,0.346089,6.401034,0.349281,1.883995,6.142404,-1.551100,6.231928
0.050000,0.455212,6.394586,0.458594,2.186260,6.045309,-1.941894,6.216457
0.050000,0.578991,6.385244,0.582726,2.482637,5.927528,-2.355623,6.199341
0.050000,0.716994,6.372351,0.721329,2.772065,5.788555,-2.779466,6.180827
0.050000,0.868707,6.355251,0.874003,3.053482,5.628347,-3.204163,6.161198
0.050000,1.033548,6.333317,1.040297,3.325879,5.447943,-3.608078,6.140775
0.050000,1.210871,6.305983,1.219714,3.588340,5.249216,-3.974540,6.119909
0.050000,1.399980,6.272768,1.411718,3.840082,5.034853,-4.287261,6.098982
0.050000,1.598971,6.233552,1.614537,4.056375,4.325843,-14.180185,6.078511
0.050000,1.804861,6.188689,1.825258,4.214414,3.160790,-23.301069,6.059085
0.050000,2.014864,6.138805,2.041104,4.316925,2.050216,-22.211485,6.041196
0.050000,2.226411,6.084753,2.259448,4.366877,0.999035,-21.023613,6.025229
0.050000,2.437153,6.027556,2.477813,4.367316,0.008781,-19.805074,6.011464
0.050000,2.644941,5.968344,2.693874,4.321202,-0.922269,-18.621003,6.000073
0.050000,2.848861,5.907982,2.906539,4.253315,-1.357750,-8.709622,5.991089
0.050000,3.049109,5.847004,3.115865,4.186524,-1.335815,0.438706,5.984475
0.050000,3.245873,5.785914,3.321895,4.120584,-1.318797,0.340352,5.980199
0.050000,3.439327,5.725190,3.524655,4.055214,-1.307406,0.227815,5.978241
0.050000,3.629627,5.665287,3.724161,3.990111,-1.302062,0.106883,5.978591
0.050000,3.816908,5.606643,3.920409,3.924957,-1.303073,-0.020223,5.981253
0.050000,4.001281,5.549682,4.113381,3.859440,-1.310338,-0.145304,5.986237
0.050000,4.182834,5.494814,4.303044,3.793258,-1.323635,-0.265928,5.993568
0.050000,4.361627,5.442436,4.489351,3.726144,-1.342289,-0.373087,6.003278
0.050000,4.537695,5.392937,4.672244,3.657870,-1.365474,-0.463685,6.015410
0.050000,4.711046,5.346690,4.851658,3.588273,-1.391939,-0.529310,6.030009
0.050000,4.881664,5.304058,5.027522,3.517281,-1.419841,-0.558049,6.047125
0.050000,5.049513,5.265381,5.199769,3.444935,-1.446918,-0.541526,6.066806
0.050000,5.214537,5.230984,5.368340,3.371423,-1.470240,-0.466452,6.089094
0.050000,5.376673,5.201163,5.533196,3.297113,-1.486204,-0.319279,6.114016
0.050000,5.535854,5.176182,5.694325,3.222586,-1.490540,-0.086723,6.141580
0.050000,5.692024,5.156275,5.851758,3.148665,-1.478430,0.242218,6.171765
0.050000,5.845147,5.141635,6.005580,3.076427,-1.444758,0.673425,6.204511
0.050000,5.995224,5.132418,6.155940,3.007199,-1.384549,1.204194,6.239711
0.050000,6.142304,5.128744,6.303066,2.942521,-1.293563,1.819720,6.277204
0.050000,6.286494,5.130702,6.447269,2.884069,-1.169037,2.490505,0.033584
0.050000,6.427965,5.138358,6.588946,2.833547,-1.010436,3.172031,0.074940
0.050000,6.566946,5.151769,6.728574,2.792545,-0.820041,3.807897,0.117750
0.050000,6.703722,5.170986,6.866693,2.762384,-0.603234,4.336135,0.161630
0.050000,6.838607,5.196067,7.003889,2.743929,-0.369098,4.682719,0.206163
0.050000,6.971926,5.227077,7.140768,2.737574,-0.127092,4.840124,0.250922
0.050000,7.103991,5.264090,7.277921,2.743069,0.109905,4.739944,0.295485
0.050000,7.235076,5.307176,7.415906,2.759692,0.332447,4.450832,0.339460
0.050000,7.365400,5.356396,7.555215,2.786180,0.529761,3.946284,0.382495
0.050000,7.495120,5.411785,7.696265,2.820996,0.696319,3.331165,0.424296
0.050000,7.626120,5.474218,7.841381,2.902334,1.626760,18.608821,0.460218
0.050000,7.864836,5.585731,8.104860,5.269565,47.344630,914.357387,0.415182
0.050000,8.094206,5.681956,8.353596,4.974734,-5.896621,-1064.825004,0.380608
0.050000,8.313524,5.766397,8.588608,4.700235,-5.489983,8.132759,0.355773
0.050000,8.522404,5.841996,8.810748,4.442795,-5.148808,6.823490,0.340069
0.050000,8.720530,5.911166,9.020601,4.197057,-4.914761,4.680952,0.333081
0.050000,8.907489,5.975859,9.218437,3.956718,-4.806770,2.159802,0.334616
0.050000,9.082682,6.037612,9.404194,3.715153,-4.831301,-0.490616,0.344717
0.050000,9.245268,6.097573,9.577484,3.465800,-4.987066,-3.115286,0.363658
0.050000,9.394164,6.156491,9.737614,3.202593,-5.264128,-5.541253,0.391931
0.050000,9.528105,6.214687,9.883651,2.920746,-5.636952,-7.456468,0.430196
0.050000,9.645794,6.272014,10.014560,2.618175,-6.051415,-8.289270,0.479188
0.050000,9.746197,6.327870,10.129454,2.297882,-6.405866,-7.089023,0.539534
0.050000,9.828982,6.381349,10.228011,1.971130,-6.535027,-2.583216,0.611465
0.050000,9.895027,6.431646,10.311027,1.660331,-6.215991,6.380724,0.694415
0.050000,9.946739,6.478734,10.380966,1.398779,-5.231034,19.699144,0.786639
0.050000,9.987824,6.524082,10.442157,1.223826,-3.499067,34.639328,0.885068
0.050000,10.022347,6.570895,10.500324,1.163332,-1.209870,45.783938,0.985641
0.050000,10.053502,6.623486,10.561450,1.222513,1.183618,47.869767,1.084116
0.050000,10.082827,6.686009,10.630508,1.381173,3.173196,39.791558,1.176964
0.050000,10.110290,6.761346,10.710695,1.603742,4.451380,25.563686,1.261920
0.050000,10.134941,6.850690,10.803377,1.853638,4.997919,10.930767,1.338016
0.050000,10.155603,6.953788,10.908526,2.102972,4.986683,-0.224704,1.405273
0.050000,10.183193,7.126761,11.083685,3.503187,28.004304,460.352406,1.420599
0.050000,10.207102,7.295923,11.254528,3.416864,-1.726461,-594.615302,1.441276
