dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,5.000000,0.001042,0.041667,0.833333,16.666667,0.001417
0.050000,0.000000,5.000000,0.005208,0.125000,1.666667,16.666667,0.000606
0.050000,0.006262,4.999996,0.014583,0.250000,2.500000,16.666667,6.281969
0.050000,0.022929,4.999949,0.031250,0.416667,3.333333,16.666667,6.278740
0.050000,0.048970,4.999768,0.057292,0.625000,4.166667,16.666667,6.273725
0.050000,0.086466,4.999279,0.094792,0.875000,5.000000,16.666667,6.266566
0.050000,0.137496,4.998184,0.145833,1.166667,5.833333,16.666667,6.256942
0.050000,0.204127,4.996022,0.212500,1.500000,6.666667,16.666667,6.244589
0.050000,0.288411,4.992120,0.296875,1.875000,7.500000,16.666667,6.229318
0.050000,0.392369,4.985555,0.401042,2.291667,8.333333,16.666667,6.211043
0.050000,0.517976,4.975126,0.527083,2.750000,9.166667,16.666667,6.189813
0.050000,0.667139,4.959335,0.677083,3.250000,10.000000,16.666667,6.165850
0.050000,0.840645,4.936552,0.852083,3.750000,10.000000,0.000000,6.139726
0.050000,1.038167,4.905208,1.052083,4.250000,10.000000,0.000000,6.112332
0.050000,1.259322,4.863829,1.277083,4.750000,10.000000,0.000000,6.084671
0.050000,1.503703,4.811161,1.527083,5.250000,10.000000,0.000000,6.057840
0.050000,1.769924,4.746541,1.801042,5.708333,9.166667,-16.666667,6.033079
0.050000,2.055712,4.670127,2.096875,6.125000,8.333333,-16.666667,6.011661
0.050000,2.358999,4.582753,2.412500,6.500000,7.500000,-16.666667,5.994726
0.050000,2.677958,4.485929,2.745833,6.833333,6.666667,-16.666667,5.983289
0.050000,3.011020,4.381806,3.094792,7.125000,5.833333,-16.666667,5.978262
0.050000,3.356850,4.273143,3.457292,7.375000,5.000000,-16.666667,5.980490
0.050000,3.714299,4.163263,3.831250,7.583333,4.166667,-16.666667,5.990781
0.050000,4.082318,4.056015,4.214583,7.750000,3.333333,-16.666667,6.009930
0.050000,4.459835,3.955723,4.605208,7.875000,2.500000,-16.666667,6.038696
0.050000,4.845594,3.867102,5.001042,7.958333,1.666667,-16.666667,6.077738
0.050000,5.237962,3.795112,5.400000,8.000000,0.833333,-16.666667,6.127468
0.050000,5.634710,3.744692,5.800000,8.000000,0.000000,-16.666667,6.187823
0.050000,6.033884,3.720322,6.200000,8.000000,0.000000,0.000000,6.258183
0.050000,6.433741,3.725874,6.600000,8.000000,0.000000,0.000000,0.054058
0.050000,6.831762,3.764361,7.000000,8.000000,0.000000,0.000000,0.139582
0.050000,7.224886,3.837489,7.400000,8.000000,0.000000,0.000000,0.228541
0.050000,7.609925,3.945374,7.800000,8.000000,0.000000,0.000000,0.317569
0.050000,7.984037,4.086589,8.200000,8.000000,0.000000,0.000000,0.403566
0.050000,8.342489,4.254240,8.600000,8.000000,0.000000,0.000000,0.436346
0.050000,8.711101,4.409356,9.000000,8.000000,0.000000,0.000000,0.367015
0.050000,9.087068,4.545867,9.400000,8.000000,0.000000,0.000000,0.335503
0.050000,9.464937,4.677074,9.800000,8.000000,0.000000,0.000000,0.338584
0.050000,9.840033,4.815939,10.200000,8.000000,0.000000,0.000000,0.376590
0.050000,10.206552,4.975891,10.600000,8.000000,0.000000,0.000000,0.453307
0.050000,10.555469,5.170987,11.000000,8.000000,0.000000,0.000000,0.574063
0.050000,10.872722,5.413854,11.400000,8.000000,0.000000,0.000000,0.739530
0.050000,11.140457,5.710171,11.800000,8.000000,0.000000,0.000000,0.935358
0.050000,11.344437,6.053504,12.200000,8.000000,0.000000,0.000000,1.131417
0.050000,11.482071,6.428567,12.600000,8.000000,0.000000,0.000000,1.301093
0.050000,11.561935,6.816969,13.000000,8.000000,0.000000,0.000000,1.412321
0.050000,11.617600,7.213048,13.400000,8.000000,0.000000,0.000000,1.453761
0.050000,11.652135,7.611483,13.800000,8.000000,0.000000,0.000000,1.519180
0.050000,11.655208,8.011328,14.200000,8.000000,0.000000,0.000000,1.611823
0.050000,11.615506,8.409104,14.600000,8.000000,0.000000,0.000000,1.733527
0.050000,11.522566,8.797783,15.000000,8.000000,0.000000,0.000000,1.881126
0.050000,11.370329,9.167204,15.400000,8.000000,0.000000,0.000000,2.043336
0.050000,11.160322,9.507138,15.800000,8.000000,0.000000,0.000000,2.203270
0.050000,10.911919,9.802720,16.200000,8.000000,0.000000,0.000000,2.313946
0.050000,10.634222,10.090560,16.600000,8.000000,0.000000,0.000000,2.363061
0.050000,10.342344,10.364004,17.000000,8.000000,0.000000,0.000000,2.414964
0.050000,10.036352,10.621548,17.400000,8.000000,0.000000,0.000000,2.469318
0.050000,9.716577,10.861758,17.800000,8.000000,0.000000,0.000000,2.525622
0.050000,9.383636,11.083357,18.200000,8.000000,0.000000,0.000000,2.583217
0.050000,9.038427,11.285311,18.600000,8.000000,0.000000,0.000000,2.641318
0.050000,8.682092,11.466918,19.000000,8.000000,0.000000,0.000000,2.699059
0.050000,8.315956,11.627858,19.400000,8.000000,0.000000,0.000000,2.755562
0.050000,7.941448,11.768228,19.800000,8.000000,0.000000,0.000000,2.810006
0.050000,7.560011,11.888520,20.200000,8.000000,0.000000,0.000000,2.861679
0.050000,7.173029,11.989582,20.600000,8.000000,0.000000,0.000000,2.910017
0.050000,6.781762,12.072548,21.000000,8.000000,0.000000,0.000000,2.954620
0.050000,6.387309,12.138767,21.400000,8.000000,0.000000,0.000000,2.995240
0.050000,5.990590,12.189725,21.800000,8.000000,0.000000,0.000000,3.031759
0.050000,5.592347,12.226986,22.200000,8.000000,0.000000,0.000000,3.064161
0.050000,5.194072,12.252093,22.599079,7.963171,-0.736580,-14.731596,3.092443
0.050000,4.798153,12.266646,22.995275,7.884675,-1.569913,-16.666667,3.116624
0.050000,4.406971,12.272348,23.386505,7.764513,-2.403246,-16.666667,3.136809
0.050000,4.022798,12.270934,23.770685,7.602684,-3.236580,-16.666667,3.153177
0.050000,3.647816,12.264096,24.145732,7.399188,-4.069913,-16.666667,3.165961
0.050000,3.284144,12.253422,24.509562,7.154026,-4.903246,-16.666667,3.175429
0.050000,2.933857,12.240358,24.860093,6.867197,-5.736580,-16.666667,3.181881
0.050000,2.599011,12.226165,25.195240,6.538701,-6.569913,-16.666667,3.185640
0.050000,2.281650,12.211897,25.512921,6.168539,-7.403246,-16.666667,3.187050
0.050000,1.983825,12.198390,25.811053,5.756710,-8.236580,-16.666667,3.186475
0.050000,1.707594,12.186248,26.087551,5.303214,-9.069913,-16.666667,3.184296
0.050000,1.455026,12.175856,26.340332,4.808052,-9.903246,-16.666667,3.180912
0.050000,1.227282,12.167355,26.568235,4.308052,-10.000000,-1.935071,3.176709
0.050000,1.024489,12.160690,26.771138,3.808052,-10.000000,0.000000,3.172040
0.050000,0.846657,12.155693,26.949040,3.308052,-10.000000,0.000000,3.167218
0.050000,0.693796,12.152128,27.101943,2.808052,-10.000000,0.000000,3.162524
0.050000,0.564995,12.149708,27.230766,2.344881,-9.263420,14.731596,3.158171
0.050000,0.458300,12.148144,27.337473,1.923377,-8.430087,16.666667,3.154286
0.050000,0.371633,12.147187,27.424145,1.543539,-7.596754,16.666667,3.150943
0.050000,0.302912,12.146639,27.492868,1.205368,-6.763420,16.666667,3.148172
0.050000,0.250057,12.146350,27.545724,0.908864,-5.930087,16.666667,3.145968
0.050000,0.210985,12.146211,27.584796,0.654026,-5.096754,16.666667,3.144298
0.050000,0.183614,12.146153,27.612168,0.440855,-4.263420,16.666667,3.143108
