dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001998,3.590001,0.001042,0.041667,0.833333,16.666667,0.001417
0.050000,0.000854,3.590000,0.002186,0.022880,-0.375724,-24.181140,0.000606
0.050000,0.004547,3.589997,0.005878,0.073854,1.019463,27.903741,6.281969
0.050000,0.016661,3.589963,0.017993,0.242296,3.368838,46.987499,6.278740
0.050000,0.035631,3.589831,0.036963,0.379398,2.742047,-12.535836,6.273725
0.050000,0.063034,3.589473,0.064368,0.548102,3.374082,12.640717,6.266566
0.050000,0.100497,3.588670,0.101841,0.749450,4.026953,13.057405,6.256942
0.050000,0.149720,3.587072,0.151090,0.984977,4.710556,13.672069,6.244589
0.050000,0.212495,3.584165,0.213931,1.256837,5.437194,14.532769,6.229318
0.050000,0.290736,3.579223,0.292329,1.567948,6.222208,15.700268,6.211043
0.050000,0.386513,3.571268,0.388435,1.922124,7.083534,17.226529,6.189813
0.050000,0.502075,3.559030,0.504643,2.324168,8.040881,19.146939,6.165850
0.050000,0.639060,3.541036,0.642805,2.763240,8.781431,14.811000,6.139726
0.050000,0.798434,3.515737,0.804174,3.227376,9.282728,10.025941,6.112332
0.050000,0.981252,3.481521,0.990167,3.719860,9.849680,11.339026,6.084671
0.050000,1.188649,3.436810,1.202329,4.243228,10.467355,12.353513,6.057840
0.050000,1.420940,3.380411,1.441368,4.780794,10.751313,5.679162,6.033079
0.050000,1.677550,3.311784,1.706996,5.312564,10.635399,-2.318285,6.011661
0.050000,1.957888,3.231010,1.998740,5.834865,10.446019,-3.787612,5.994726
0.050000,2.261414,3.138861,2.315945,6.344116,10.185022,-5.219925,5.983289
0.050000,2.587710,3.036849,2.657816,6.837405,9.865790,-6.384652,5.978262
0.050000,2.936537,2.927246,3.023456,7.312811,9.508108,-7.153624,5.980490
0.050000,3.307860,2.813112,3.411924,7.769350,9.130779,-7.546587,5.990781
0.050000,3.701805,2.698330,3.822250,8.206532,8.743655,-7.742488,6.009930
0.050000,4.118529,2.587655,4.253421,8.623409,8.337529,-8.122515,6.038696
0.050000,4.557948,2.486755,4.704275,9.017089,7.873600,-9.278575,6.077738
0.050000,5.019287,2.402172,5.173304,9.380584,7.269896,-12.074088,6.127468
0.050000,5.500454,2.341099,5.658331,9.700536,6.399054,-17.416844,6.187823
0.050000,5.998635,2.310763,6.157436,9.982090,5.631073,-15.359621,6.258183
0.050000,6.509926,2.317933,6.668777,10.226828,4.894753,-14.726387,0.054058
0.050000,7.027934,2.368075,7.189206,10.408575,3.634956,-25.195949,0.139582
0.050000,7.544331,2.464152,7.714464,10.505169,1.931878,-34.061551,0.228541
0.050000,8.050209,2.605878,8.239820,10.507117,0.038964,-37.858283,0.317569
0.050000,8.537745,2.789860,8.760916,10.421922,-1.703913,-34.857537,0.403566
0.050000,8.938398,2.976354,9.202847,8.838617,-31.666093,-599.243611,0.436346
0.050000,9.217053,3.093258,9.505031,6.043671,-55.898918,-484.656482,0.367015
0.050000,9.551303,3.214482,9.860585,7.111078,21.348126,1544.940872,0.335503
0.050000,9.933270,3.347125,10.264928,8.086858,19.515617,-36.650179,0.338584
0.050000,10.358563,3.504746,10.718489,9.071222,19.687269,3.433028,0.376590
0.050000,10.824049,3.708296,11.226534,10.160901,21.793585,42.126327,0.453307
0.050000,11.321167,3.987008,11.796453,11.398382,24.749618,59.120657,0.574063
0.050000,11.822979,4.372166,12.429036,12.651657,25.065506,6.317756,0.739530
0.050000,12.275242,4.873293,13.104069,13.500677,16.980399,-161.702125,0.935358
0.050000,12.620509,5.453721,13.779425,13.507120,0.128858,-337.030818,1.131417
0.050000,12.841099,6.052879,14.417900,12.769499,-14.752431,-297.625793,1.301093
0.050000,12.954267,6.594454,14.971173,11.065443,-34.081111,-386.573595,1.412321
0.050000,13.017954,7.048404,15.429569,9.167922,-37.950418,-77.386148,1.453761
0.050000,13.060257,7.538737,15.921723,9.843082,13.503199,1029.072345,1.519180
0.050000,13.064021,8.069159,16.452158,10.608711,15.312579,36.187612,1.611823
0.050000,13.006878,8.637543,17.023408,11.424995,16.325690,20.262212,1.733527
0.050000,12.865215,9.228357,17.630969,12.151209,14.524265,-36.028496,1.881126
0.050000,12.625815,9.808964,18.258994,12.560518,8.186190,-126.761513,2.043336
0.050000,12.297583,10.340647,18.883833,12.496771,-1.274950,-189.222784,2.203270
0.050000,11.950160,10.756741,19.425899,10.841327,-33.108882,-636.678639,2.313946
0.050000,11.624373,11.094403,19.895104,9.384096,-29.144606,79.285512,2.363061
0.050000,11.279083,11.417864,20.368235,9.462610,1.570272,614.297565,2.414964
0.050000,10.914454,11.724742,20.844814,9.531597,1.379738,-3.810680,2.469318
0.050000,10.531207,12.012618,21.324138,9.586474,1.097546,-5.643837,2.525622
0.050000,10.130667,12.279202,21.805282,9.622875,0.728013,-7.390679,2.583217
0.050000,9.714757,12.522517,22.287135,9.637065,0.283809,-8.884072,2.641318
0.050000,9.285897,12.741091,22.768483,9.626960,-0.202110,-9.718381,2.699059
0.050000,8.846841,12.934098,23.248089,9.592119,-0.696821,-9.894217,2.755562
0.050000,8.400464,13.101421,23.724796,9.534133,-1.159717,-9.257930,2.810006
0.050000,7.949556,13.243642,24.197601,9.456109,-1.560485,-8.015360,2.861679
0.050000,7.496639,13.361943,24.665713,9.362235,-1.877462,-6.339530,2.910017
0.050000,7.043859,13.457974,25.128565,9.257042,-2.103866,-4.528089,2.954620
0.050000,6.592930,13.533693,25.585807,9.144840,-2.244051,-2.803690,2.995240
0.050000,6.145145,13.591229,26.037273,9.029319,-2.310403,-1.327039,3.031759
0.050000,5.701417,13.632761,26.482941,8.913355,-2.319285,-0.177633,3.064161
0.050000,5.263345,13.660391,26.921883,8.778851,-2.690079,-7.415888,3.092443
0.050000,4.833355,13.676207,27.352164,8.605607,-3.464887,-15.496155,3.116624
0.050000,4.413716,13.682332,27.771847,8.393674,-4.238663,-15.475525,3.136809
0.050000,4.006464,13.680840,28.179102,8.145098,-4.971517,-14.657079,3.153177
0.050000,3.613461,13.673677,28.572171,7.861374,-5.674470,-14.059071,3.165961
0.050000,3.236444,13.662615,28.949350,7.543582,-6.355840,-13.627384,3.175429
0.050000,2.877066,13.649214,29.308977,7.192545,-7.020747,-13.298150,3.181881
0.050000,2.536924,13.634797,29.649425,6.808949,-7.671920,-13.023459,3.185640
0.050000,2.217578,13.620441,29.969094,6.393386,-8.311272,-12.787029,3.187050
0.050000,1.920562,13.606970,30.266415,5.946409,-8.939525,-12.565074,3.186475
0.050000,1.647400,13.594963,30.539841,5.468530,-9.557593,-12.361362,3.184296
0.050000,1.399600,13.584767,30.787850,4.960180,-10.167001,-12.188154,3.180912
0.050000,1.177778,13.576486,31.009827,4.439540,-10.412790,-4.915783,3.176709
0.050000,0.981565,13.570037,31.206145,3.926367,-10.263457,2.986673,3.172040
0.050000,0.810530,13.565230,31.377249,3.422070,-10.085945,3.550224,3.167218
0.050000,0.664285,13.561819,31.523533,2.925685,-9.927690,3.165099,3.162524
0.050000,0.541622,13.559514,31.646218,2.453703,-9.439650,9.760808,3.158171
0.050000,0.440403,13.558030,31.747447,2.024579,-8.582472,17.143562,3.154286
0.050000,0.358449,13.557126,31.829407,1.639193,-7.707733,17.494782,3.150943
0.050000,0.293635,13.556609,31.894223,1.296317,-6.857511,17.004427,3.148172
0.050000,0.243887,13.556336,31.943971,0.994966,-6.027033,16.609576,3.145968
0.050000,0.207170,13.556206,31.980689,0.734351,-5.212282,16.295004,3.144298
