dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,5.410000,0.000613,0.024510,0.490196,9.803922,0.000000
0.050000,0.000000,5.410000,0.000613,0.000000,-0.490196,-19.607843,0.000000
0.050000,0.000000,5.410000,0.000613,0.000000,0.000000,9.803922,0.000000
0.050000,0.008382,5.410000,0.008995,0.167647,3.352941,67.058824,0.000000
0.050000,0.023701,5.410000,0.024314,0.306373,2.774510,-11.568627,0.000000
0.050000,0.045760,5.410000,0.046373,0.441176,2.696078,-1.568627,0.000000
0.050000,0.075784,5.410000,0.076397,0.600490,3.186275,9.803922,0.000000
0.050000,0.115000,5.410000,0.115613,0.784314,3.676471,9.803922,0.000000
0.050000,0.164632,5.410000,0.165245,0.992647,4.166667,9.803922,0.000000
0.050000,0.225907,5.410000,0.226520,1.225490,4.656863,9.803922,0.000000
0.050000,0.300049,5.410000,0.300662,1.482843,5.147059,9.803922,0.000000
0.050000,0.388284,5.410000,0.388897,1.764706,5.637255,9.803922,0.000000
0.050000,0.491225,5.410000,0.491838,2.058824,5.882353,4.901961,0.000000
0.050000,0.608873,5.410000,0.609485,2.352941,5.882353,0.000000,0.000000
0.050000,0.741225,5.410000,0.741838,2.647059,5.882353,-0.000000,0.000000
0.050000,0.888284,5.410000,0.888897,2.941176,5.882353,0.000000,0.000000
0.050000,1.050049,5.410000,1.050662,3.235294,5.882353,0.000000,0.000000
0.050000,1.225907,5.410000,1.226520,3.517157,5.637255,-4.901961,0.000000
0.050000,1.414632,5.410000,1.415245,3.774510,5.147059,-9.803922,0.000000
0.050000,1.615000,5.410000,1.615613,4.007353,4.656863,-9.803922,0.000000
0.050000,1.825784,5.410000,1.826397,4.215686,4.166667,-9.803922,0.000000
0.050000,2.045760,5.410000,2.046373,4.399510,3.676471,-9.803922,0.000000
0.050000,2.273701,5.410000,2.274314,4.558824,3.186275,-9.803922,0.000000
0.050000,2.508382,5.410000,2.508995,4.693627,2.696078,-9.803922,0.000000
0.050000,2.748578,5.410000,2.749191,4.803922,2.205882,-9.803922,0.000000
0.050000,2.993064,5.410000,2.993676,4.889706,1.715686,-9.803922,0.000000
0.050000,3.240613,5.410000,3.241225,4.950980,1.225490,-9.803922,0.000000
0.050000,3.490000,5.410000,3.490613,4.987745,0.735294,-9.803922,0.000000
0.050000,3.740000,5.410000,3.740613,5.000000,0.245098,-9.803922,0.000000
0.050000,3.990000,5.410000,3.990613,5.000000,-0.000000,-4.901961,0.000000
0.050000,4.240000,5.410000,4.240613,5.000000,0.000000,0.000000,0.000000
0.050000,4.490000,5.410000,4.490613,5.000000,0.000000,0.000000,0.000000
0.050000,4.740000,5.410000,4.740613,5.000000,-0.000000,-0.000000,0.000000
0.050000,4.990000,5.410000,4.990613,5.000000,0.000000,0.000000,0.000000
0.050000,5.240000,5.410000,5.240613,5.000000,0.000000,-0.000000,0.000000
0.050000,5.490000,5.410000,5.490613,5.000000,-0.000000,-0.000000,0.000000
0.050000,5.740000,5.410000,5.740613,5.000000,0.000000,0.000000,0.000000
0.050000,5.990000,5.410000,5.990613,5.000000,0.000000,-0.000000,0.000000
0.050000,6.240000,5.410000,6.240613,5.000000,0.000000,0.000000,0.000000
0.050000,6.490000,5.410000,6.490613,5.000000,0.000000,0.000000,0.000000
0.050000,6.739412,5.410000,6.740025,4.988235,-0.235294,-4.705882,0.000000
0.050000,6.987034,5.410000,6.987647,4.952451,-0.715686,-9.607843,0.000000
0.050000,7.231642,5.410000,7.232255,4.892157,-1.205882,-9.803922,0.000000
0.050000,7.472010,5.410000,7.472623,4.807353,-1.696078,-9.803922,0.000000
0.050000,7.706912,5.410000,7.707525,4.698039,-2.186275,-9.803922,0.000000
0.050000,7.935123,5.410000,7.935735,4.564216,-2.676471,-9.803922,0.000000
0.050000,8.155417,5.410000,8.156029,4.405882,-3.166667,-9.803922,0.000000
0.050000,8.366569,5.410000,8.367181,4.223039,-3.656863,-9.803922,0.000000
0.050000,8.567353,5.410000,8.567966,4.015686,-4.147059,-9.803922,0.000000
0.050000,8.756544,5.410000,8.757157,3.783824,-4.637255,-9.803922,0.000000
0.050000,8.932917,5.410000,8.933529,3.527451,-5.127451,-9.803922,0.000000
0.050000,9.095245,5.410000,9.095858,3.246569,-5.617647,-9.803922,0.000000
0.050000,9.242892,5.410000,9.243505,2.952941,-5.872549,-5.098039,0.000000
0.050000,9.375833,5.410000,9.376446,2.658824,-5.882353,-0.196078,0.000000
0.050000,9.494069,5.410000,9.494681,2.364706,-5.882353,0.000000,0.000000
0.050000,9.597598,5.410000,9.598211,2.070588,-5.882353,-0.000000,0.000000
0.050000,9.686422,5.410000,9.687034,1.776471,-5.882353,-0.000000,0.000000
0.050000,9.761127,5.410000,9.761740,1.494118,-5.647059,4.705882,0.000000
0.050000,9.822917,5.410000,9.823529,1.235784,-5.166667,9.607843,0.000000
0.050000,9.873015,5.410000,9.873627,1.001961,-4.676471,9.803922,0.000000
0.050000,9.912647,5.410000,9.913260,0.792647,-4.186275,9.803922,0.000000
0.050000,9.943039,5.410000,9.943652,0.607843,-3.696078,9.803922,0.000000
0.050000,9.965417,5.410000,9.966029,0.447549,-3.205882,9.803922,0.000000
0.050000,9.981005,5.410000,9.981618,0.311765,-2.715686,9.803922,0.000000
0.050000,9.991029,5.410000,9.991642,0.200490,-2.225490,9.803922,0.000000
0.050000,9.996716,5.410000,9.997328,0.113725,-1.735294,9.803922,0.000000
0.050000,9.999289,5.410000,9.999902,0.051471,-1.245098,9.803922,0.000000
0.050000,9.999975,5.410000,10.000588,0.013725,-0.754902,9.803922,0.000000
0.050000,10.000000,5.410000,10.000613,0.000490,-0.264706,9.803922,0.000000
0.050000,10.000000,5.410000,10.000613,0.000000,-0.009804,5.098039,0.000000
