dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,4.000000,0.001052,0.042084,0.841676,16.833528,0.000000
0.050000,0.000000,4.000000,0.005260,0.126251,1.683353,16.833528,0.000000
0.050000,0.004729,4.000000,0.014729,0.252503,2.525029,16.833528,0.000000
0.050000,0.021563,4.000000,0.031563,0.420838,3.366706,16.833528,0.000000
0.050000,0.047865,4.000000,0.057865,0.631257,4.208382,16.833528,0.000000
0.050000,0.085741,4.000000,0.095741,0.883760,5.050058,16.833528,0.000000
0.050000,0.137293,4.000000,0.147293,1.178347,5.891735,16.833528,0.000000
0.050000,0.204627,4.000000,0.214627,1.515017,6.733411,16.833528,0.000000
0.050000,0.289847,4.000000,0.299847,1.893772,7.575087,16.833528,0.000000
0.050000,0.395057,4.000000,0.405057,2.314610,8.416764,16.833528,0.000000
0.050000,0.522360,4.000000,0.532360,2.777532,9.258440,16.833528,0.000000
0.050000,0.673862,4.000000,0.683862,3.282538,10.100117,16.833528,0.000000
0.050000,0.850614,4.000000,0.860614,3.787544,10.100117,0.000000,0.000000
0.050000,1.052616,4.000000,1.062616,4.292550,10.100117,0.000000,0.000000
0.050000,1.279869,4.000000,1.289869,4.797555,10.100117,-0.000000,0.000000
0.050000,1.531320,4.000000,1.541320,5.260477,9.258440,-16.833528,0.000000
0.050000,1.804865,4.000000,1.814865,5.681316,8.416764,-16.833528,0.000000
0.050000,2.098399,4.000000,2.108399,6.060070,7.575087,-16.833528,0.000000
0.050000,2.409820,4.000000,2.419820,6.396740,6.733411,-16.833528,0.000000
0.050000,2.737021,4.000000,2.747021,6.691327,5.891735,-16.833528,0.000000
0.050000,3.077900,4.000000,3.087900,6.943830,5.050058,-16.833528,0.000000
0.050000,3.430352,4.000000,3.440352,7.154249,4.208382,-16.833528,0.000000
0.050000,3.792273,4.000000,3.802273,7.322584,3.366706,-16.833528,0.000000
0.050000,4.161559,4.000000,4.171559,7.448836,2.525029,-16.833528,0.000000
0.050000,4.536105,4.000000,4.546105,7.533004,1.683353,-16.833528,0.000000
0.050000,4.913807,4.000000,4.923807,7.575087,0.841676,-16.833528,0.000000
0.050000,5.291960,4.000000,5.301960,7.551047,-0.480818,-26.449883,0.000000
0.050000,5.667859,4.000000,5.677859,7.484922,-1.322494,-16.833528,0.000000
0.050000,6.039400,4.000000,6.049400,7.376713,-2.164171,-16.833528,0.000000
0.050000,6.404479,4.000000,6.414479,7.226421,-3.005847,-16.833528,0.000000
0.050000,6.760990,4.000000,6.770990,7.034045,-3.847523,-16.833528,0.000000
0.050000,7.106831,4.000000,7.116831,6.799585,-4.689200,-16.833528,0.000000
0.050000,7.439897,4.000000,7.449897,6.523041,-5.530876,-16.833528,0.000000
0.050000,7.758083,4.000000,7.768083,6.204413,-6.372552,-16.833528,0.000000
0.050000,8.059286,4.000000,8.069286,5.843702,-7.214229,-16.833528,0.000000
0.050000,8.341401,4.000000,8.351401,5.440907,-8.055905,-16.833528,0.000000
0.050000,8.602324,4.000000,8.612324,4.996028,-8.897582,-16.833528,0.000000
0.050000,8.839952,4.000000,8.849952,4.509065,-9.739258,-16.833528,0.000000
0.050000,9.052780,4.000000,9.062780,4.004059,-10.100117,-7.217172,0.000000
0.050000,9.240358,4.000000,9.250358,3.499053,-10.100117,-0.000000,0.000000
0.050000,9.402685,4.000000,9.412685,2.994047,-10.100117,0.000000,0.000000
0.050000,9.540363,4.000000,9.550363,2.513082,-9.619299,9.616356,0.000000
0.050000,9.655045,4.000000,9.665045,2.074201,-8.777622,16.833528,0.000000
0.050000,9.748836,4.000000,9.758836,1.677404,-7.935946,16.833528,0.000000
0.050000,9.823838,4.000000,9.833838,1.322690,-7.094270,16.833528,0.000000
0.050000,9.882157,4.000000,9.892157,1.010061,-6.252593,16.833528,0.000000
0.050000,9.925896,4.000000,9.935896,0.739515,-5.410917,16.833528,0.000000
0.050000,9.957160,4.000000,9.967160,0.511053,-4.569240,16.833528,0.000000
0.050000,9.978053,4.000000,9.988053,0.324675,-3.727564,16.833528,0.000000
0.050000,9.990680,4.000000,10.000680,0.180380,-2.885888,16.833528,0.000000
0.050000,9.997144,4.000000,10.007144,0.078170,-2.044211,16.833528,0.000000
0.050000,9.999549,4.000000,10.009549,0.018043,-1.202535,16.833528,0.000000
0.050000,10.000000,4.000000,10.010000,0.000000,-0.360859,16.833528,0.000000
0.050000,10.000000,4.000000,10.010000,0.000000,0.000000,7.217172,0.000000
