dt,x,y,position,velocity,acceleration,jerk,heading
0.100000,0.000000,3.052100,0.004630,0.092593,0.925926,9.259259,0.000000
0.100000,0.013148,3.052100,0.017778,0.131481,0.388889,-5.370370,0.000000
0.100000,0.054815,3.052100,0.059444,0.416667,2.851852,24.629630,0.000000
0.100000,0.128889,3.052100,0.133519,0.740741,3.240741,3.888889,0.000000
0.100000,0.244630,3.052100,0.249259,1.157407,4.166667,9.259259,0.000000
0.100000,0.411296,3.052100,0.415926,1.666667,5.092593,9.259259,0.000000
0.100000,0.633519,3.052100,0.638148,2.222222,5.555556,4.629630,0.000000
0.100000,0.911296,3.052100,0.915926,2.777778,5.555556,-0.000000,0.000000
0.100000,1.244630,3.052100,1.249259,3.333333,5.555556,0.000000,0.000000
0.100000,1.628889,3.052100,1.633519,3.842593,5.092593,-4.629630,0.000000
0.100000,2.054815,3.052100,2.059444,4.259259,4.166667,-9.259259,0.000000
0.100000,2.513148,3.052100,2.517778,4.583333,3.240741,-9.259259,0.000000
0.100000,2.994630,3.052100,2.999259,4.814815,2.314815,-9.259259,0.000000
0.100000,3.490000,3.052100,3.494630,4.953704,1.388889,-9.259259,0.000000
0.100000,3.990000,3.052100,3.994630,5.000000,0.462963,-9.259259,0.000000
0.100000,4.490000,3.052100,4.494630,5.000000,-0.000000,-4.629630,0.000000
0.100000,4.990000,3.052100,4.994630,5.000000,0.000000,0.000000,0.000000
0.100000,5.490000,3.052100,5.494630,5.000000,0.000000,-0.000000,0.000000
0.100000,5.990000,3.052100,5.994630,5.000000,-0.000000,-0.000000,0.000000
0.100000,6.490000,3.052100,6.494630,5.000000,0.000000,0.000000,0.000000
0.100000,6.985463,3.052100,6.990093,4.954630,-0.453704,-4.537037,0.000000
0.100000,7.467222,3.052100,7.471852,4.817593,-1.370370,-9.166667,0.000000
0.100000,7.926019,3.052100,7.930648,4.587963,-2.296296,-9.259259,0.000000
0.100000,8.352593,3.052100,8.357222,4.265741,-3.222222,-9.259259,0.000000
0.100000,8.737685,3.052100,8.742315,3.850926,-4.148148,-9.259259,0.000000
0.100000,9.072037,3.052100,9.076667,3.343519,-5.074074,-9.259259,0.000000
0.100000,9.350926,3.052100,9.355556,2.788889,-5.546296,-4.722222,0.000000
0.100000,9.574259,3.052100,9.578889,2.233333,-5.555556,-0.092593,0.000000
0.100000,9.742037,3.052100,9.746667,1.677778,-5.555556,0.000000,0.000000
0.100000,9.858796,3.052100,9.863426,1.167593,-5.101852,4.537037,0.000000
0.100000,9.933704,3.052100,9.938333,0.749074,-4.185185,9.166667,0.000000
0.100000,9.976019,3.052100,9.980648,0.423148,-3.259259,9.259259,0.000000
0.100000,9.995000,3.052100,9.999630,0.189815,-2.333333,9.259259,0.000000
0.100000,9.999907,3.052100,10.004537,0.049074,-1.407407,9.259259,0.000000
0.100000,10.000000,3.052100,10.004630,0.000926,-0.481481,9.259259,0.000000
0.100000,10.000000,3.052100,10.004630,0.000000,-0.009259,4.722222,0.000000
