dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.001923,1.409999,0.001042,0.041667,0.833333,16.666667,6.281822
0.050000,0.000804,1.410000,0.002161,0.022380,-0.385726,-24.381193,6.282615
0.050000,0.004666,1.410003,0.006023,0.077250,1.097389,29.662313,0.001218
0.050000,0.016832,1.410037,0.018189,0.243312,3.321234,44.476889,0.004410
0.050000,0.035792,1.410168,0.037149,0.379207,2.717918,-12.066308,0.009432
0.050000,0.062991,1.410524,0.064351,0.544031,3.296471,11.571051,0.016737
0.050000,0.099061,1.411305,0.100429,0.721558,3.550539,5.081369,0.026610
0.050000,0.143830,1.412777,0.145222,0.895864,3.486118,-1.288421,0.039168
0.050000,0.197075,1.415272,0.198526,1.066080,3.404322,-1.635933,0.054555
0.050000,0.258525,1.419191,0.260100,1.231491,3.308226,-1.921911,0.072941
0.050000,0.327850,1.425004,0.329668,1.391363,3.197430,-2.215918,0.094523
0.050000,0.404668,1.433250,0.406928,1.545193,3.076611,-2.416380,0.119514
0.050000,0.488550,1.444533,0.491565,1.692743,2.951001,-2.512198,0.148138
0.050000,0.579024,1.459529,0.583274,1.834175,2.828639,-2.447247,0.180612
0.050000,0.675601,1.478978,0.681790,1.970322,2.722929,-2.114193,0.217121
0.050000,0.777801,1.503698,0.786937,2.102939,2.652353,-1.411518,0.257792
0.050000,0.884562,1.534393,0.898023,2.221719,2.375586,-5.535349,0.302376
0.050000,0.994363,1.571537,1.013936,2.318264,1.930897,-8.893782,0.350183
0.050000,1.105925,1.615480,1.133841,2.398096,1.596650,-6.684937,0.400330
0.050000,1.218195,1.666440,1.257135,2.465884,1.355749,-4.818022,0.451767
0.050000,1.330286,1.724467,1.383355,2.524403,1.170396,-3.707066,0.503344
0.050000,1.441400,1.789395,1.512048,2.573861,0.989158,-3.624756,0.553907
0.050000,1.551312,1.861177,1.643324,2.625508,1.032925,0.875343,0.602638
0.050000,1.660299,1.940003,1.777830,2.690124,1.292320,5.187899,0.649079
0.050000,1.768546,2.025993,1.916075,2.764900,1.495524,4.064083,0.692869
0.050000,1.876156,2.119174,2.058421,2.846929,1.640594,2.901387,0.733751
0.050000,1.983174,2.219476,2.205096,2.933484,1.731096,1.810046,0.771565
0.050000,2.089613,2.326738,2.356206,3.022201,1.774337,0.864819,0.806233
0.050000,2.195474,2.440720,2.511765,3.111179,1.779567,0.104610,0.837747
0.050000,2.300765,2.561127,2.671715,3.199000,1.756410,-0.463143,0.866147
0.050000,2.405517,2.687618,2.835949,3.284688,1.713765,-0.852894,0.891510
0.050000,2.509788,2.819830,3.004331,3.367647,1.659185,-1.091611,0.913931
0.050000,2.613671,2.957392,3.176712,3.447605,1.599143,-1.200829,0.933518
0.050000,2.717293,3.099933,3.352937,3.524513,1.538160,-1.219676,0.950378
0.050000,2.820818,3.247092,3.532863,3.598507,1.479891,-1.165369,0.964614
0.050000,2.924441,3.398525,3.716355,3.669852,1.426905,-1.059714,0.976320
0.050000,3.028393,3.553903,3.903300,3.738900,1.380949,-0.919132,0.985579
0.050000,3.132934,3.712920,4.093603,3.806059,1.343184,-0.755297,0.992456
0.050000,3.238355,3.875287,4.287192,3.871776,1.314333,-0.577012,0.997003
0.050000,3.344979,4.040732,4.484018,3.936524,1.294970,-0.387269,0.999254
0.050000,3.453156,4.208997,4.684058,4.000787,1.285247,-0.194450,0.999226
0.050000,3.563272,4.379837,4.887310,4.065054,1.285342,0.001893,0.996919
0.050000,3.675740,4.553011,5.093801,4.129814,1.295205,0.197257,0.992316
0.050000,3.791012,4.728279,5.303579,4.195552,1.314762,0.391135,0.985381
0.050000,3.895724,4.886120,5.492994,3.788312,-8.144792,-189.191069,0.988122
0.050000,4.000524,5.046280,5.684394,3.827999,0.793733,178.770496,0.994221
0.050000,4.106307,5.209697,5.879061,3.893343,1.306870,10.262733,0.998003
0.050000,4.213405,5.376106,6.076955,3.957875,1.290641,-0.324574,0.999497
0.050000,4.322182,5.545252,6.278059,4.022084,1.284196,-0.128909,0.998714
0.050000,4.433030,5.716893,6.482382,4.086461,1.287529,0.066671,0.995648
0.050000,4.546377,5.890788,6.689957,4.151493,1.300651,0.262440,0.990275
0.050000,4.662685,6.066698,6.900840,4.217660,1.323337,0.453715,0.982557
0.050000,4.782451,6.244373,7.115111,4.285427,1.355329,0.639851,0.972434
0.050000,4.906210,6.423548,7.332873,4.355231,1.396080,0.815006,0.959837
0.050000,5.034537,6.603932,7.554246,4.427459,1.444571,0.969821,0.944677
0.050000,5.168043,6.785194,7.779368,4.502440,1.499607,1.100733,0.926858
0.050000,5.307375,6.966953,8.008387,4.580390,1.559015,1.188161,0.906274
0.050000,5.453209,7.148760,8.241457,4.661386,1.619920,1.218084,0.882817
0.050000,5.606238,7.330081,8.478723,4.745322,1.678704,1.175691,0.856382
0.050000,5.767158,7.510276,8.720312,4.831794,1.729458,1.015073,0.826879
0.050000,5.936640,7.688586,8.966317,4.920096,1.766023,0.731298,0.794244
0.050000,6.115297,7.864111,9.216772,5.009096,1.780013,0.279806,0.758451
0.050000,6.303642,8.035809,9.471632,5.097207,1.762216,-0.355930,0.719532
0.050000,6.502035,8.202489,9.730750,5.182360,1.703066,-1.183005,0.677590
0.050000,6.710628,8.362839,9.993853,5.262052,1.593833,-2.184655,0.632821
0.050000,6.929310,8.515458,10.260526,5.333464,1.428231,-3.312055,0.585517
0.050000,7.157671,8.658920,10.530211,5.393697,1.204660,-4.471420,0.536076
0.050000,7.394479,8.791589,10.801650,5.428775,0.701573,-10.061726,0.485096
0.050000,7.636841,8.911474,11.072042,5.407839,-0.418731,-22.406083,0.433532
0.050000,7.880657,9.016879,11.337667,5.312503,-1.906718,-29.759745,0.382546
0.050000,8.121560,9.106973,11.594865,5.143969,-3.370666,-29.278962,0.333258
0.050000,8.355163,9.181780,11.840154,4.905770,-4.763992,-27.866512,0.286661
0.050000,8.577276,9.242070,12.070304,4.603000,-6.055400,-25.828159,0.243567
0.050000,8.784581,9.289291,12.282919,4.252307,-7.013868,-19.169364,0.204493
0.050000,8.975508,9.325407,12.477232,3.886258,-7.320962,-6.141894,0.169536
0.050000,9.149645,9.352435,12.653454,3.524432,-7.236523,1.688781,0.138547
0.050000,9.306822,9.372166,12.811864,3.168214,-7.124365,2.243174,0.111326
0.050000,9.447035,9.386156,12.952773,2.818180,-7.000689,2.473511,0.087654
0.050000,9.570380,9.395728,13.076490,2.474330,-6.876990,2.473978,0.067310
0.050000,9.677011,9.401992,13.183304,2.136282,-6.760967,2.320459,0.050089
0.050000,9.767103,9.405861,13.273480,1.803516,-6.655305,2.113241,0.035803
0.050000,9.840833,9.408077,13.347243,1.475260,-6.565134,1.803428,0.024293
0.050000,9.898359,9.409219,13.404780,1.150749,-6.490216,1.498352,0.015426
0.050000,9.940340,9.409732,13.446764,0.839680,-6.221384,5.376637,0.009017
0.050000,9.968725,9.409926,13.475150,0.567717,-5.439245,15.642781,0.004714
0.050000,9.986216,9.409986,13.492641,0.349816,-4.358035,21.624202,0.002074
0.050000,9.995490,9.409998,13.501915,0.185480,-3.286719,21.426322,0.000678
0.050000,9.999203,9.410000,13.505628,0.074262,-2.224347,21.247447,0.000120
0.050000,10.000000,9.410000,13.506425,0.015941,-1.166416,21.158616,0.000000
0.050000,10.000000,9.410000,13.506425,0.000000,-0.318830,16.951724,0.000000
