dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,0.000000,0.001042,0.041667,0.833333,16.666667,6.281822
0.050000,0.000000,0.000000,0.005208,0.125000,1.666667,16.666667,6.282615
0.050000,0.006384,0.000004,0.014583,0.250000,2.500000,16.666667,0.001218
0.050000,0.023051,0.000051,0.031250,0.416667,3.333333,16.666667,0.004410
0.050000,0.049091,0.000231,0.057292,0.625000,4.166667,16.666667,0.009432
0.050000,0.086589,0.000721,0.094792,0.875000,5.000000,16.666667,0.016737
0.050000,0.137617,0.001832,0.145833,1.166667,5.833333,16.666667,0.026817
0.050000,0.204247,0.004065,0.212500,1.500000,6.666667,16.666667,0.040226
0.050000,0.288519,0.008187,0.296875,1.875000,7.500000,16.666667,0.057586
0.050000,0.392440,0.015321,0.401042,2.291667,8.333333,16.666667,0.079621
0.050000,0.517929,0.027065,0.527083,2.750000,9.166667,16.666667,0.107157
0.050000,0.666769,0.045622,0.677083,3.250000,10.000000,16.666667,0.141141
0.050000,0.839476,0.073780,0.852083,3.750000,10.000000,0.000000,0.182361
0.050000,1.035200,0.114821,1.052083,4.250000,10.000000,0.000000,0.231337
0.050000,1.252624,0.172595,1.277083,4.750000,10.000000,0.000000,0.288395
0.050000,1.489826,0.251418,1.527083,5.250000,10.000000,0.000000,0.353463
0.050000,1.743210,0.355423,1.801042,5.708333,9.166667,-16.666667,0.425547
0.050000,2.007673,0.487837,2.096875,6.125000,8.333333,-16.666667,0.502543
0.050000,2.277924,0.650722,2.412500,6.500000,7.500000,-16.666667,0.581575
0.050000,2.548948,0.844632,2.745833,6.833333,6.666667,-16.666667,0.659360
0.050000,2.816507,1.068527,3.094792,7.125000,5.833333,-16.666667,0.732725
0.050000,3.077515,1.319988,3.457292,7.375000,5.000000,-16.666667,0.799095
0.050000,3.330180,1.595609,3.831250,7.583333,4.166667,-16.666667,0.856732
0.050000,3.573915,1.891429,4.214583,7.750000,3.333333,-16.666667,0.904709
0.050000,3.809118,2.203276,4.605208,7.875000,2.500000,-16.666667,0.942720
0.050000,4.036900,2.526988,5.001042,7.958333,1.666667,-16.666667,0.970839
0.050000,4.258836,2.858511,5.400000,8.000000,0.833333,-16.666667,0.989312
0.050000,4.476759,3.193934,5.800000,8.000000,0.000000,-16.666667,0.998414
0.050000,4.693168,3.530337,6.200000,8.000000,0.000000,0.000000,0.998358
0.050000,4.911129,3.865735,6.600000,8.000000,0.000000,0.000000,0.989142
0.050000,5.127948,4.193848,7.000000,8.000000,0.000000,0.000000,0.991463
0.050000,5.345408,4.529572,7.400000,8.000000,0.000000,0.000000,0.999035
0.050000,5.561862,4.865947,7.800000,8.000000,0.000000,0.000000,0.997467
0.050000,5.780264,5.200810,8.199793,7.991723,-0.165531,-3.310617,0.986720
0.050000,6.002986,5.531056,8.598131,7.941780,-0.998864,-16.666667,0.966568
0.050000,6.231822,5.852752,8.992929,7.850170,-1.832198,-16.666667,0.936734
0.050000,6.468273,6.161831,9.382106,7.716894,-2.665531,-16.666667,0.896998
0.050000,6.713331,6.454127,9.763577,7.541951,-3.498864,-16.666667,0.847340
0.050000,6.967228,6.725500,10.135259,7.325341,-4.332198,-16.666667,0.788163
0.050000,7.229171,6.972076,10.495070,7.067064,-5.165531,-16.666667,0.720528
0.050000,7.497134,7.190608,10.840924,6.767121,-5.998864,-16.666667,0.646324
0.050000,7.767810,7.378911,11.170740,6.425511,-6.832198,-16.666667,0.568251
0.050000,8.036796,7.536229,11.482434,6.042235,-7.665531,-16.666667,0.489528
0.050000,8.299001,7.663400,11.773922,5.617291,-8.498864,-16.666667,0.413392
0.050000,8.549148,7.762722,12.043121,5.150681,-9.332198,-16.666667,0.342592
0.050000,8.782410,7.837620,12.288155,4.650681,-10.000000,-13.356049,0.279023
0.050000,8.995517,7.892287,12.508189,4.150681,-10.000000,0.000000,0.223497
0.050000,9.186660,7.930954,12.703223,3.650681,-10.000000,0.000000,0.176001
0.050000,9.354619,7.957362,12.873257,3.150681,-10.000000,0.000000,0.136169
0.050000,9.498814,7.974705,13.018498,2.658958,-9.834469,3.310617,0.103424
0.050000,9.620013,7.985656,13.140195,2.208901,-9.001136,16.666667,0.076944
0.050000,9.720027,7.992299,13.240430,1.800511,-8.167802,16.666667,0.055805
0.050000,9.800792,7.996135,13.321288,1.433788,-7.334469,16.666667,0.039202
0.050000,9.864320,7.998220,13.384851,1.108731,-6.501136,16.666667,0.026432
0.050000,9.912660,7.999266,13.433202,0.825341,-5.667802,16.666667,0.016884
0.050000,9.947881,7.999740,13.468426,0.583617,-4.834469,16.666667,0.010019
0.050000,9.972060,7.999925,13.492606,0.383560,-4.001136,16.666667,0.005350
0.050000,9.987278,7.999985,13.507824,0.225170,-3.167802,16.666667,0.002430
0.050000,9.995618,7.999998,13.516165,0.108447,-2.334469,16.666667,0.000836
0.050000,9.999165,8.000000,13.519710,0.033390,-1.501136,16.666667,0.000159
0.050000,10.000000,8.000000,13.520545,0.000000,-0.667802,16.666667,0.000000
0.050000,10.000000,8.000000,13.520545,0.000000,0.000000,13.356049,0.000000
