dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.001923,-1.409999,0.001042,0.041667,0.833333,16.666667,6.281822
0.050000,-0.000804,-1.410000,0.002161,0.022380,-0.385726,-24.381193,6.282615
0.050000,0.008102,-1.409995,0.011067,0.178119,3.114766,70.009853,0.001218
0.050000,0.029269,-1.409936,0.032234,0.423350,4.904626,35.797187,0.004410
0.050000,0.062390,-1.409706,0.065356,0.662429,4.781583,-2.460855,0.009432
0.050000,0.110186,-1.409081,0.113156,0.956010,5.871610,21.800547,0.016737
0.050000,0.174092,-1.407697,0.177077,1.278414,6.448093,11.529653,0.026610
0.050000,0.254256,-1.405060,0.257284,1.604135,6.514410,1.326345,0.039168
0.050000,0.350843,-1.400533,0.353977,1.933867,6.594642,1.604636,0.054555
0.050000,0.464037,-1.393311,0.467401,2.268476,6.692186,1.950870,0.072941
0.050000,0.594008,-1.382408,0.597828,2.608554,6.801563,2.187557,0.094523
0.050000,0.740897,-1.366634,0.745562,2.954668,6.922272,2.414165,0.119514
0.050000,0.904774,-1.344581,0.910916,3.307090,7.048447,2.523505,0.148138
0.050000,1.085585,-1.314601,1.094196,3.665594,7.170076,2.432576,0.180612
0.050000,1.283084,-1.274813,1.295663,4.029339,7.274895,2.096393,0.217121
0.050000,1.496749,-1.223116,1.515493,4.396607,7.345355,1.409202,0.257792
0.050000,1.724327,-1.157668,1.752295,4.736033,6.788538,-11.136343,0.302376
0.050000,1.961821,-1.077317,2.003013,5.014364,5.566602,-24.438728,0.350183
0.050000,2.204943,-0.981549,2.264318,5.226094,4.234605,-26.639938,0.400330
0.050000,2.449283,-0.870649,2.532647,5.366586,2.809840,-28.495296,0.451767
0.050000,2.690535,-0.745781,2.804299,5.433036,1.328996,-29.616883,0.503344
0.050000,2.924759,-0.608947,3.075563,5.425285,-0.155012,-29.680154,0.553907
0.050000,3.149739,-0.462061,3.344248,5.373696,-1.031775,-17.535273,0.602638
0.050000,3.364857,-0.306524,3.609706,5.309155,-1.290827,-5.181043,0.649079
0.050000,3.569814,-0.143761,3.871429,5.234459,-1.493927,-4.061999,0.692869
0.050000,3.764598,0.024852,4.129054,5.152511,-1.638958,-2.900608,0.733751
0.050000,3.949441,0.198042,4.382356,5.066037,-1.729463,-1.810113,0.771565
0.050000,4.124764,0.374672,4.631226,4.977397,-1.772808,-0.866888,0.806233
0.050000,4.291121,0.553749,4.875650,4.888488,-1.778182,-0.107489,0.837747
0.050000,4.449151,0.734425,5.115687,4.800731,-1.755139,0.460874,0.866147
0.050000,4.599537,0.915987,5.351442,4.715101,-1.712607,0.850636,0.891510
0.050000,4.742976,1.097833,5.583051,4.632182,-1.658381,1.084520,0.913931
0.050000,4.880156,1.279463,5.810664,4.552268,-1.598278,1.202062,0.933518
0.050000,5.011744,1.460453,6.034434,4.475394,-1.537471,1.216143,0.950378
0.050000,5.138376,1.640442,6.254505,4.401426,-1.479364,1.162139,0.964614
0.050000,5.260648,1.819114,6.471010,4.330102,-1.426476,1.057755,0.976320
0.050000,5.379122,1.996190,6.684064,4.261073,-1.380589,0.917730,0.985579
0.050000,5.494320,2.171410,6.893760,4.193928,-1.342900,0.753794,0.992456
0.050000,5.606726,2.344529,7.100171,4.128218,-1.314202,0.573946,0.997003
0.050000,5.716789,2.515309,7.303345,4.063475,-1.294848,0.387095,0.999254
0.050000,5.824924,2.683508,7.503306,3.999214,-1.285217,0.192622,0.999226
0.050000,5.931514,2.848881,7.700053,3.934946,-1.285363,-0.002921,0.996919
0.050000,6.036910,3.011169,7.893562,3.870180,-1.295331,-0.199377,0.992316
0.050000,6.141433,3.170100,8.083784,3.804432,-1.314958,-0.392538,0.985381
0.050000,6.250407,3.334389,8.280929,3.942899,2.769339,81.685939,0.988122
0.050000,6.364627,3.508939,8.489528,4.171990,4.581820,36.249623,0.994221
0.050000,6.476207,3.681309,8.694861,4.106655,-1.306698,-117.770355,0.998003
0.050000,6.585586,3.851259,8.896967,4.042125,-1.290594,0.322084,0.999497
0.050000,6.693168,4.018549,9.095863,3.977917,-1.284171,0.128448,0.998714
0.050000,6.799324,4.182927,9.291540,3.913537,-1.287590,-0.068375,0.995648
0.050000,6.904397,4.344132,9.483965,3.848499,-1.300761,-0.263425,0.990275
0.050000,7.008696,4.501887,9.673081,3.782320,-1.323577,-0.456321,0.982557
0.050000,7.112502,4.655896,9.858808,3.714538,-1.355646,-0.641369,0.972434
0.050000,7.216066,4.805844,10.041044,3.644718,-1.396406,-0.815202,0.959837
0.050000,7.319604,4.951398,10.219667,3.572464,-1.445072,-0.973312,0.944677
0.050000,7.423302,5.092207,10.394540,3.497457,-1.500137,-1.101298,0.926858
0.050000,7.527311,5.227906,10.565513,3.419471,-1.559714,-1.191558,0.906274
0.050000,7.631744,5.358123,10.732434,3.338426,-1.620915,-1.224010,0.882817
0.050000,7.736684,5.482487,10.895157,3.254450,-1.679520,-1.172092,0.856382
0.050000,7.842176,5.600642,11.053553,3.167915,-1.730700,-1.023609,0.826879
0.050000,7.948242,5.712262,11.207530,3.079548,-1.767334,-0.732680,0.794244
0.050000,8.054887,5.817067,11.357054,2.990475,-1.781453,-0.282382,0.758451
0.050000,8.162113,5.914846,11.502168,2.902286,-1.763791,0.353240,0.719532
0.050000,8.269942,6.005468,11.643021,2.817050,-1.704709,1.181638,0.677590
0.050000,8.378437,6.088898,11.779885,2.737278,-1.595446,2.185268,0.632821
0.050000,8.487729,6.165196,11.913174,2.665786,-1.429838,3.312152,0.585517
0.050000,8.598032,6.234511,12.043448,2.605484,-1.206039,4.475986,0.536076
0.050000,8.709426,6.296932,12.171138,2.553809,-1.033511,3.450555,0.485096
0.050000,8.821462,6.352359,12.296136,2.499951,-1.077146,-0.872700,0.433532
0.050000,8.933317,6.400716,12.417997,2.437214,-1.254748,-3.552046,0.382546
0.050000,9.044048,6.442125,12.536217,2.364399,-1.456297,-4.030971,0.333258
0.050000,9.152520,6.476855,12.650113,2.277922,-1.729544,-5.464950,0.286661
0.050000,9.257364,6.505306,12.758749,2.172720,-2.104038,-7.489874,0.243567
0.050000,9.357241,6.528049,12.861182,2.048658,-2.481237,-7.543978,0.204493
0.050000,9.451314,6.545837,12.956922,1.914806,-2.677049,-3.916245,0.169536
0.050000,9.539099,6.559457,13.045758,1.776711,-2.761891,-1.696839,0.138547
0.050000,9.620113,6.569623,13.127407,1.632996,-2.874306,-2.248297,0.111326
0.050000,9.693902,6.576983,13.201562,1.483088,-2.998151,-2.476903,0.087654
0.050000,9.760052,6.582114,13.267911,1.326976,-3.122237,-2.481714,0.067310
0.050000,9.818202,6.585528,13.326161,1.165010,-3.239321,-2.341687,0.050089
0.050000,9.868047,6.587669,13.376052,0.997819,-3.343829,-2.090164,0.035803
0.050000,9.909333,6.588909,13.417357,0.826091,-3.434563,-1.814664,0.024293
0.050000,9.941858,6.589554,13.449888,0.650622,-3.509372,-1.496181,0.015426
0.050000,9.965767,6.589846,13.473799,0.478227,-3.447902,1.229385,0.009017
0.050000,9.982017,6.589958,13.490049,0.325007,-3.064402,7.670006,0.004714
0.050000,9.992064,6.589992,13.500096,0.200936,-2.481416,11.659731,0.002074
0.050000,9.997402,6.589999,13.505434,0.106749,-1.883736,11.953595,0.000678
0.050000,9.999541,6.590000,13.507573,0.042781,-1.279369,12.087329,0.000120
0.050000,10.000000,6.590000,13.508032,0.009187,-0.671886,12.149669,0.000000
0.050000,10.000000,6.590000,13.508032,0.000000,-0.183731,9.763091,0.000000
