dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.166585,14.160000,0.001041,0.041632,0.832641,16.652822,0.000082
0.050000,7.166639,14.160000,0.001095,0.001094,-0.810766,-32.868152,0.000043
0.050000,7.171498,14.160000,0.005954,0.097170,1.921529,54.645908,6.283141
0.050000,7.188368,14.159998,0.022825,0.337414,4.804873,57.666876,6.282987
0.050000,7.214727,14.159989,0.049184,0.527180,3.795315,-20.191161,6.282746
0.050000,7.252681,14.159966,0.087137,0.759075,4.637914,16.851978,6.282402
0.050000,7.304334,14.159914,0.138791,1.033066,5.479807,16.837866,6.281939
0.050000,7.371789,14.159809,0.206246,1.349102,6.320719,16.818251,6.281340
0.050000,7.457145,14.159620,0.291602,1.707118,7.160324,16.792098,6.280595
0.050000,7.562496,14.159300,0.396953,2.107031,7.998255,16.758613,6.279693
0.050000,7.689932,14.158786,0.524390,2.548735,8.834092,16.716734,6.278629
0.050000,7.841535,14.158002,0.675995,3.032104,9.667373,16.665618,6.277403
0.050000,8.018328,14.156857,0.852792,3.535941,10.076741,8.187359,6.276025
0.050000,8.220276,14.155258,1.054746,4.039079,10.062758,-0.279642,6.274521
0.050000,8.447337,14.153107,1.281817,4.541417,10.046775,-0.319663,6.272920
0.050000,8.698414,14.150319,1.532910,5.021852,9.608689,-8.761718,6.271260
0.050000,8.971359,14.146832,1.805877,5.459353,8.750018,-17.173438,6.269587
0.050000,9.264027,14.142608,2.098575,5.853959,7.892117,-17.158014,6.267945
0.050000,9.574273,14.137632,2.408862,6.205731,7.035453,-17.133280,6.266378
0.050000,9.899961,14.131915,2.734599,6.514753,6.180443,-17.100193,6.264925
0.050000,10.238956,14.125498,3.073656,6.781126,5.327459,-17.059682,6.263623
0.050000,10.589134,14.118443,3.423904,7.004968,4.476825,-17.012688,6.262502
0.050000,10.948374,14.110841,3.783225,7.186408,3.628817,-16.960163,6.261591
0.050000,11.314565,14.102800,4.149504,7.325592,2.783665,-16.903026,6.260911
0.050000,11.685604,14.094446,4.520638,7.422669,1.941554,-16.842232,6.260480
0.050000,12.059397,14.085917,4.894528,7.477800,1.102619,-16.778689,6.260308
0.050000,12.433102,14.077376,5.268330,7.476045,-0.035102,-22.754431,6.260401
0.050000,12.803888,14.068983,5.639211,7.417630,-1.168308,-22.664106,6.260755
0.050000,13.169691,14.060880,6.005104,7.317851,-1.995570,-16.545240,6.261360
0.050000,13.528452,14.053192,6.363947,7.176870,-2.819627,-16.481140,6.262202
0.050000,13.878121,14.046032,6.713689,6.994840,-3.640603,-16.419519,6.263260
0.050000,14.216653,14.039491,7.052285,6.771906,-4.458669,-16.361325,6.264508
0.050000,14.542011,14.033637,7.377695,6.508204,-5.274042,-16.307464,6.265915
0.050000,14.852161,14.028513,7.687888,6.203855,-6.086987,-16.258890,6.267447
0.050000,15.145077,14.024135,7.980836,5.858964,-6.897814,-16.216539,6.269064
0.050000,15.418733,14.020495,8.254517,5.473620,-7.706881,-16.181358,6.270726
0.050000,15.671111,14.017557,8.506911,5.047891,-8.514596,-16.154284,6.272387
0.050000,15.900190,14.015267,8.736002,4.581820,-9.321408,-16.136253,6.274002
0.050000,16.104702,14.013544,8.940522,4.090383,-9.828741,-10.146661,6.275531
0.050000,16.284404,14.012294,9.120228,3.594126,-9.925131,-1.927788,6.276941
0.050000,16.439332,14.011424,9.275158,3.098596,-9.910601,0.290598,6.278208
0.050000,16.570262,14.010845,9.406089,2.618628,-9.599376,6.224496,6.279315
0.050000,16.678994,14.010475,9.514822,2.174664,-8.879279,14.401948,6.280260
0.050000,16.767604,14.010250,9.603433,1.772207,-8.049142,16.602735,6.281048
0.050000,16.838161,14.010122,9.673990,1.411146,-7.221221,16.558410,6.281685
0.050000,16.892731,14.010054,9.728559,1.091391,-6.395087,16.522691,6.282185
0.050000,16.933375,14.010021,9.769203,0.812873,-5.570359,16.494554,6.282562
0.050000,16.962152,14.010007,9.797980,0.575538,-4.746697,16.473238,6.282830
0.050000,16.981119,14.010002,9.816947,0.379348,-3.923815,16.457653,6.283008
0.050000,16.992333,14.010000,9.828161,0.224274,-3.101467,16.446957,6.283113
0.050000,16.997848,14.010000,9.833676,0.110302,-2.279455,16.440233,6.283165
0.050000,16.999719,14.010000,9.835547,0.037420,-1.457630,16.436496,6.283183
0.050000,17.000000,14.010000,9.835829,0.005626,-0.635888,16.434853,0.000000
0.050000,17.000000,14.010000,9.835829,0.000000,-0.112513,10.467496,0.000000
