dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.166700,12.750000,0.001041,0.041632,0.832641,16.652822,0.000082
0.050000,7.166700,12.750000,0.005204,0.124896,1.665282,16.652822,0.000043
0.050000,7.171436,12.750000,0.014571,0.249792,2.497923,16.652822,6.283141
0.050000,7.188088,12.749998,0.031224,0.416321,3.330564,16.652822,6.282987
0.050000,7.214108,12.749990,0.057244,0.624481,4.163206,16.652822,6.282746
0.050000,7.251577,12.749967,0.094713,0.874273,4.995847,16.652822,6.282402
0.050000,7.302577,12.749915,0.145712,1.165698,5.828488,16.652822,6.281939
0.050000,7.369188,12.749812,0.212323,1.498754,6.661129,16.652822,6.281340
0.050000,7.453492,12.749625,0.296628,1.873442,7.493770,16.652822,6.280595
0.050000,7.557572,12.749308,0.400709,2.289763,8.326411,16.652822,6.279693
0.050000,7.683508,12.748801,0.526645,2.747716,9.159052,16.652822,6.278629
0.050000,7.833381,12.748026,0.676521,3.247300,9.991693,16.652822,6.277403
0.050000,8.008232,12.746893,0.851376,3.746885,9.991693,-0.000000,6.276025
0.050000,8.208060,12.745311,1.051209,4.246470,9.991693,0.000000,6.274521
0.050000,8.432863,12.743181,1.276022,4.746054,9.991693,0.000000,6.272920
0.050000,8.681599,12.740419,1.524774,5.204007,9.159052,-16.652822,6.271260
0.050000,8.952185,12.736963,1.795382,5.620327,8.326411,-16.652822,6.269587
0.050000,9.242539,12.732772,2.085766,5.995016,7.493770,-16.652822,6.267945
0.050000,9.550576,12.727831,2.393843,6.328072,6.661129,-16.652822,6.266378
0.050000,9.874216,12.722150,2.717532,6.619497,5.828488,-16.652822,6.264925
0.050000,10.211375,12.715767,3.054752,6.869289,4.995847,-16.652822,6.263623
0.050000,10.559973,12.708745,3.403421,7.077449,4.163206,-16.652822,6.262502
0.050000,10.917928,12.701170,3.761456,7.243978,3.330564,-16.652822,6.261591
0.050000,11.283161,12.693150,4.126777,7.368874,2.497923,-16.652822,6.260911
0.050000,11.653593,12.684810,4.497303,7.452138,1.665282,-16.652822,6.260480
0.050000,12.027143,12.676286,4.870950,7.493770,0.832641,-16.652822,6.260308
0.050000,12.400978,12.667741,5.244883,7.463539,-0.604624,-28.745310,6.260401
0.050000,12.772264,12.659338,5.616264,7.391675,-1.437266,-16.652822,6.260755
0.050000,13.138920,12.651216,5.983010,7.278180,-2.269907,-16.652822,6.261360
0.050000,13.498868,12.643503,6.343041,7.123053,-3.102548,-16.652822,6.262202
0.050000,13.850028,12.636312,6.694274,6.926293,-3.935189,-16.652822,6.263260
0.050000,14.190319,12.629737,7.034629,6.687902,-4.767830,-16.652822,6.264508
0.050000,14.517661,12.623847,7.362024,6.407878,-5.600471,-16.652822,6.265915
0.050000,14.829971,12.618688,7.674376,6.086223,-6.433112,-16.652822,6.267447
0.050000,15.125167,12.614276,7.969605,5.722935,-7.265753,-16.652822,6.269064
0.050000,15.401166,12.610604,8.245629,5.318015,-8.098394,-16.652822,6.270726
0.050000,15.655886,12.607640,8.500366,4.871463,-8.931035,-16.652822,6.272387
0.050000,15.887243,12.605326,8.731735,4.383280,-9.763677,-16.652822,6.274002
0.050000,16.093910,12.603585,8.938409,3.883695,-9.991693,-4.560334,6.275531
0.050000,16.275600,12.602321,9.120104,3.384110,-9.991693,-0.000000,6.276941
0.050000,16.432314,12.601442,9.276820,2.884526,-9.991693,0.000000,6.278208
0.050000,16.564805,12.600855,9.409312,2.415172,-9.387069,12.092488,6.279315
0.050000,16.674870,12.600481,9.519378,1.987451,-8.554428,16.652822,6.280260
0.050000,16.764590,12.600254,9.609098,1.601361,-7.721787,16.652822,6.281048
0.050000,16.836047,12.600124,9.680555,1.256904,-6.889146,16.652822,6.281685
0.050000,16.891321,12.600055,9.735829,0.954079,-6.056504,16.652822,6.282185
0.050000,16.932495,12.600021,9.777004,0.692886,-5.223863,16.652822,6.282562
0.050000,16.961650,12.600007,9.806159,0.473325,-4.391222,16.652822,6.282830
0.050000,16.980868,12.600002,9.825377,0.295396,-3.558581,16.652822,6.283008
0.050000,16.992231,12.600000,9.836739,0.159099,-2.725940,16.652822,6.283113
0.050000,16.997819,12.600000,9.842328,0.064434,-1.893299,16.652822,6.283165
0.050000,16.999715,12.600000,9.844223,0.011401,-1.060658,16.652822,6.283183
0.050000,17.000000,12.600000,9.844508,0.000000,-0.228017,16.652822,0.000000
0.050000,17.000000,12.600000,9.844508,0.000000,0.000000,4.560334,0.000000
