dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.166815,11.340000,0.001041,0.041632,0.832641,16.652822,0.000082
0.050000,7.166761,11.340000,0.001095,0.001094,-0.810766,-32.868152,0.000043
0.050000,7.171374,11.340000,0.005708,0.092255,1.823228,52.679893,6.283141
0.050000,7.187808,11.339998,0.022143,0.328699,4.728878,58.112997,6.282987
0.050000,7.213490,11.339990,0.047824,0.513622,3.698456,-20.608445,6.282746
0.050000,7.250474,11.339967,0.084808,0.739679,4.521139,16.453661,6.282402
0.050000,7.300819,11.339916,0.135153,1.006905,5.344526,16.467750,6.281939
0.050000,7.366586,11.339814,0.200921,1.315350,6.168898,16.487423,6.281340
0.050000,7.449840,11.339630,0.284175,1.665079,6.994573,16.513504,6.280595
0.050000,7.552648,11.339317,0.386984,2.056175,7.821925,16.547054,6.279693
0.050000,7.677084,11.338816,0.511421,2.488743,8.651369,16.588881,6.278629
0.050000,7.825228,11.338049,0.659566,2.962912,9.483370,16.640002,6.277403
0.050000,7.998136,11.336929,0.832479,3.458244,9.906643,8.465466,6.276025
0.050000,8.195844,11.335364,1.030192,3.954275,9.920624,0.279614,6.274521
0.050000,8.418389,11.333256,1.252748,4.451106,9.936608,0.319679,6.272920
0.050000,8.664785,11.330519,1.499158,4.928208,9.542052,-7.891109,6.271260
0.050000,8.933012,11.327093,1.767407,5.364980,8.735444,-16.132170,6.269587
0.050000,9.221051,11.322935,2.055476,5.761383,7.928063,-16.147608,6.267945
0.050000,9.526879,11.318030,2.361344,6.117356,7.119447,-16.172327,6.266378
0.050000,9.848471,11.312385,2.682985,6.432815,6.309176,-16.205420,6.264925
0.050000,10.183793,11.306037,3.018368,6.707659,5.496879,-16.245938,6.263623
0.050000,10.530811,11.299047,3.365456,6.941770,4.682232,-16.292938,6.262502
0.050000,10.887483,11.291499,3.722207,7.135018,3.864958,-16.345484,6.261591
0.050000,11.251758,11.283500,4.086570,7.287259,3.044827,-16.402620,6.260911
0.050000,11.621581,11.275173,4.456487,7.398342,2.221655,-16.463434,6.260480
0.050000,11.994889,11.266655,4.829893,7.468107,1.395306,-16.526984,6.260308
0.050000,12.368855,11.258107,5.203956,7.481263,0.263119,-22.643735,6.260401
0.050000,12.740639,11.249693,5.575835,7.437584,-0.873584,-22.734062,6.260755
0.050000,13.108149,11.241551,5.943435,7.352004,-1.711605,-16.760431,6.261360
0.050000,13.469284,11.233813,6.304653,7.224362,-2.552832,-16.824532,6.262202
0.050000,13.821935,11.226592,6.657379,7.054505,-3.397138,-16.886128,6.263260
0.050000,14.163986,11.219983,6.999493,6.842288,-4.244355,-16.944325,6.264508
0.050000,14.493311,11.214058,7.328872,6.587575,-5.094263,-16.998166,6.265915
0.050000,14.807781,11.208862,7.643384,6.290245,-5.946600,-17.046732,6.267447
0.050000,15.105257,11.204417,7.940893,5.950192,-6.801053,-17.089074,6.269064
0.050000,15.383599,11.200714,8.219260,5.567329,-7.657266,-17.124253,6.270726
0.050000,15.640661,11.197722,8.476339,5.141587,-8.514832,-17.151327,6.272387
0.050000,15.874295,11.195386,8.709985,4.672922,-9.373300,-17.169362,6.274002
0.050000,16.083117,11.193626,8.918815,4.176591,-9.926625,-11.066485,6.275531
0.050000,16.266797,11.192349,9.102499,3.673678,-10.058252,-2.632550,6.276941
0.050000,16.425296,11.191459,9.261001,3.170039,-10.072782,-0.290592,6.278208
0.050000,16.559348,11.190866,9.395054,2.681070,-9.779383,5.867971,6.279315
0.050000,16.670746,11.190487,9.506452,2.227959,-9.062215,14.343356,6.280260
0.050000,16.761576,11.190257,9.597282,1.816606,-8.227072,16.702875,6.281048
0.050000,16.833932,11.190125,9.669638,1.447120,-7.389711,16.747219,6.281685
0.050000,16.889911,11.190055,9.725618,1.119592,-6.550561,16.782992,6.282185
0.050000,16.931616,11.190021,9.767323,0.834092,-5.710009,16.811030,6.282562
0.050000,16.961149,11.190007,9.796856,0.590672,-4.868388,16.832438,6.282830
0.050000,16.980618,11.190002,9.816325,0.389373,-4.025989,16.847980,6.283008
0.050000,16.992129,11.190000,9.827836,0.230220,-3.183055,16.858669,6.283113
0.050000,16.997791,11.190000,9.833497,0.113231,-2.339783,16.865439,6.283165
0.050000,16.999711,11.190000,9.835418,0.038415,-1.496326,16.869153,6.283183
0.050000,17.000000,11.190000,9.835707,0.005775,-0.652787,16.870762,0.000000
0.050000,17.000000,11.190000,9.835707,0.000000,-0.115504,10.745670,0.000000
