dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.166624,13.580000,0.001036,0.041435,0.828705,16.574096,0.000267
0.050000,7.166862,13.580000,0.001274,0.004764,-0.733417,-31.242444,0.000098
0.050000,7.174328,13.579999,0.008741,0.149329,2.891298,72.494314,6.282901
0.050000,7.191873,13.579988,0.026285,0.350889,4.031203,22.798092,6.282213
0.050000,7.219316,13.579946,0.053728,0.548865,3.959513,-1.433790,6.281116
0.050000,7.258898,13.579832,0.093311,0.791652,4.855742,17.924579,6.279491
0.050000,7.312898,13.579571,0.147311,1.080002,5.766995,18.225048,6.277192
0.050000,7.383645,13.579036,0.218060,1.414987,6.699708,18.654261,6.274034
0.050000,7.473545,13.578025,0.307966,1.798112,7.662491,19.255668,6.269779
0.050000,7.585101,13.576217,0.419536,2.231410,8.665959,20.069363,6.264118
0.050000,7.720951,13.573125,0.555422,2.717704,9.725891,21.198629,6.256640
0.050000,7.883911,13.568009,0.718462,3.260797,10.861850,22.719185,6.246800
0.050000,8.074737,13.559864,0.909462,3.820008,11.184213,6.447268,6.234028
0.050000,8.292060,13.547434,1.127140,4.353555,10.670953,-10.265201,6.217762
0.050000,8.534612,13.529101,1.370384,4.864889,10.226684,-8.885378,6.197321
0.050000,8.801219,13.502803,1.638284,5.358005,9.862312,-7.287443,6.171881
0.050000,9.090760,13.465925,1.930165,5.837603,9.591960,-5.407041,6.140451
0.050000,9.402094,13.415164,2.245609,6.308895,9.425837,-3.322471,6.101854
0.050000,9.733902,13.346383,2.584472,6.777251,9.367121,-1.174309,6.054721
0.050000,10.084382,13.254476,2.946801,7.246590,9.386786,0.393295,5.997544
0.050000,10.450710,13.133350,3.332635,7.716679,9.401780,0.299884,5.928822
0.050000,10.828216,12.976245,3.741527,8.177836,9.223131,-3.572975,5.847393
0.050000,11.209364,12.776702,4.171750,8.604450,8.532286,-13.816916,5.753006
0.050000,11.582247,12.531083,4.618259,8.930186,6.514712,-40.351475,5.647303
0.050000,11.932254,12.240962,5.072875,9.092313,3.242555,-65.443146,5.534158
0.050000,12.245704,11.913982,5.525828,9.059067,-0.664924,-78.149579,5.419050
0.050000,12.512806,11.563285,5.966659,8.816619,-4.848973,-83.680972,5.307951
0.050000,12.730100,11.204097,6.386460,8.396018,-8.412012,-71.260778,5.205721
0.050000,12.900066,10.850064,6.779178,7.854371,-10.832946,-48.418689,5.115188
0.050000,13.028842,10.511369,7.141528,7.247001,-12.147401,-26.289091,5.037209
0.050000,13.123826,10.194734,7.472103,6.611496,-12.710102,-11.254030,4.971305
0.050000,13.192149,9.904331,7.770435,5.966639,-12.897128,-3.740515,4.916332
0.050000,13.240005,9.642793,8.036315,5.317601,-12.980759,-1.672616,4.870962
0.050000,13.272501,9.411947,8.269437,4.662439,-13.103236,-2.449545,4.833939
0.050000,13.293745,9.213278,8.469239,3.996032,-13.328149,-4.498261,4.804192
0.050000,13.307098,9.046582,8.636468,3.344593,-13.028788,5.987232,4.780651
0.050000,13.315205,8.909242,8.774048,2.751587,-11.860120,23.373344,4.762175
0.050000,13.319942,8.797968,8.885423,2.227501,-10.481720,27.568000,4.747789
0.050000,13.322578,8.709693,8.973736,1.766271,-9.224581,25.142782,4.736733
0.050000,13.323952,8.641535,9.041909,1.363448,-8.056470,23.362234,4.728405
0.050000,13.324611,8.590744,9.092703,1.015896,-6.951030,22.108790,4.722316
0.050000,13.324892,8.554673,9.128776,0.721446,-5.889009,21.240419,4.718050
0.050000,13.324994,8.530743,9.152707,0.478616,-4.856598,20.648226,4.715247
0.050000,13.325023,8.516421,9.167028,0.286427,-3.843779,20.256379,4.713579
0.050000,13.325028,8.509207,9.174242,0.144284,-2.842872,20.018132,4.712742
0.050000,13.325029,8.506611,9.176838,0.051918,-1.847313,19.911185,4.712441
0.050000,13.325029,8.506159,9.177290,0.009048,-0.857404,19.798187,4.712389
0.050000,13.325029,8.506159,9.177290,0.000000,-0.180954,13.528997,4.712389
