dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.167000,12.170000,0.001036,0.041435,0.828705,16.574096,0.000267
0.050000,7.167000,12.170000,0.005179,0.124306,1.657410,16.574096,0.000098
0.050000,7.173927,12.169999,0.014502,0.248611,2.486114,16.574096,6.282901
0.050000,7.190501,12.169989,0.031076,0.414352,3.314819,16.574096,6.282213
0.050000,7.216398,12.169949,0.056973,0.621529,4.143524,16.574096,6.281116
0.050000,7.253690,12.169842,0.094265,0.870140,4.972229,16.574096,6.279491
0.050000,7.304447,12.169597,0.145023,1.160187,5.800934,16.574096,6.277192
0.050000,7.370742,12.169096,0.211320,1.491669,6.629638,16.574096,6.274034
0.050000,7.454643,12.168151,0.295226,1.864586,7.458343,16.574096,6.269779
0.050000,7.558217,12.166473,0.398814,2.278938,8.287048,16.574096,6.264118
0.050000,7.683526,12.163622,0.524156,2.734726,9.115753,16.574096,6.256640
0.050000,7.832619,12.158943,0.673323,3.231949,9.944458,16.574096,6.246800
0.050000,8.005453,12.151567,0.846315,3.687736,9.115753,-16.574096,6.234028
0.050000,8.199879,12.140450,1.041060,4.102089,8.287048,-16.574096,6.217762
0.050000,8.413693,12.124296,1.255488,4.475006,7.458343,-16.574096,6.197321
0.050000,8.644604,12.101528,1.487525,4.806488,6.629638,-16.574096,6.171881
0.050000,8.890188,12.070264,1.735101,5.096534,5.800934,-16.574096,6.140451
0.050000,9.147815,12.028282,1.996143,5.345146,4.972229,-16.574096,6.101854
0.050000,9.414563,11.973022,2.268579,5.552322,4.143524,-16.574096,6.054721
0.050000,9.687082,11.901607,2.550339,5.718063,3.314819,-16.574096,5.997544
0.050000,9.961449,11.810957,2.839350,5.842369,2.486114,-16.574096,5.928822
0.050000,10.233014,11.698030,3.133540,5.925239,1.657410,-16.574096,5.847393
0.050000,10.496344,11.560271,3.430838,5.966675,0.828705,-16.574096,5.753006
0.050000,10.744866,11.396671,3.728514,5.940367,-0.526149,-27.097084,5.647303
0.050000,10.972148,11.208346,4.023839,5.872624,-1.354854,-16.574096,5.534158
0.050000,11.173351,10.998471,4.314740,5.763446,-2.183559,-16.574096,5.419050
0.050000,11.345561,10.772312,4.599147,5.612833,-3.012264,-16.574096,5.307951
0.050000,11.488229,10.536373,4.874988,5.420785,-3.840969,-16.574096,5.205721
0.050000,11.602912,10.297351,5.140190,5.187301,-4.669673,-16.574096,5.115188
0.050000,11.692573,10.061383,5.392682,4.912382,-5.498378,-16.574096,5.037209
0.050000,11.760824,9.833727,5.630392,4.596028,-6.327083,-16.574096,4.971305
0.050000,11.811371,9.618760,5.851249,4.238239,-7.155788,-16.574096,4.916332
0.050000,11.847696,9.420140,6.053180,3.839014,-7.984493,-16.574096,4.870962
0.050000,11.872904,9.240983,6.234115,3.398354,-8.813197,-16.574096,4.833939
0.050000,11.889683,9.084017,6.391980,2.916259,-9.641902,-16.574096,4.804192
0.050000,11.900382,8.950408,6.526020,2.445344,-9.418308,4.471880,4.780651
0.050000,11.906952,8.839072,6.637550,2.015863,-8.589603,16.574096,4.762175
0.050000,11.910826,8.748064,6.728642,1.627819,-7.760899,16.574096,4.747789
0.050000,11.912995,8.675372,6.801368,1.281209,-6.932194,16.574096,4.736733
0.050000,11.914133,8.618953,6.857799,0.976034,-6.103489,16.574096,4.728405
0.050000,11.914680,8.576748,6.900007,0.712295,-5.274784,16.574096,4.722316
0.050000,11.914914,8.546691,6.930064,0.489991,-4.446079,16.574096,4.718050
0.050000,11.914999,8.526713,6.950042,0.309123,-3.617375,16.574096,4.715247
0.050000,11.915024,8.514743,6.962012,0.169689,-2.788670,16.574096,4.713579
0.050000,11.915028,8.508709,6.968047,0.071691,-1.959965,16.574096,4.712742
0.050000,11.915029,8.506537,6.970217,0.015128,-1.131260,16.574096,4.712441
0.050000,11.915029,8.506159,6.970596,0.000000,-0.302555,16.574096,4.712389
0.050000,11.915029,8.506159,6.970596,0.000000,0.000000,6.051108,4.712389
