dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,7.167376,10.760000,0.001036,0.041435,0.828705,16.574096,0.000267
0.050000,7.167138,10.760000,0.001274,0.004764,-0.733417,-31.242444,0.000098
0.050000,7.173526,10.759999,0.007662,0.127757,2.459851,63.865365,6.282901
0.050000,7.189130,10.759989,0.023266,0.312075,3.686363,24.530244,6.282213
0.050000,7.213481,10.759952,0.047617,0.487022,3.498937,-3.748517,6.281116
0.050000,7.248482,10.759852,0.082618,0.700017,4.259895,15.219149,6.279491
0.050000,7.295997,10.759622,0.130134,0.950321,5.006088,14.923858,6.277192
0.050000,7.357838,10.759155,0.191977,1.236862,5.730812,14.494491,6.274034
0.050000,7.435741,10.758278,0.269884,1.558146,6.425683,13.897425,6.269779
0.050000,7.531333,10.756730,0.365489,1.912103,7.079149,13.069304,6.264118
0.050000,7.646101,10.754119,0.480287,2.295955,7.677039,11.957813,6.256640
0.050000,7.781327,10.749876,0.615579,2.705848,8.197848,10.416167,6.246800
0.050000,7.936169,10.743271,0.770562,3.099645,7.875950,-6.437946,6.234028
0.050000,8.107698,10.733467,0.942371,3.436185,6.730792,-22.903162,6.217762
0.050000,8.292774,10.719490,1.127974,3.712054,5.517385,-24.268137,6.197321
0.050000,8.487990,10.700253,1.324135,3.923229,4.223508,-25.877556,6.171881
0.050000,8.689616,10.674602,1.527386,4.065027,2.835953,-27.751087,6.140451
0.050000,8.893537,10.641400,1.733993,4.132126,1.341985,-29.879357,6.101854
0.050000,9.095224,10.599660,1.939954,4.119217,-0.258191,-32.003534,6.054721
0.050000,9.289783,10.548739,2.141066,4.022247,-1.939389,-33.623945,5.997544
0.050000,9.472188,10.488564,2.333140,3.841492,-3.615103,-33.514280,5.928822
0.050000,9.637812,10.419815,2.512466,3.586511,-5.099616,-29.690264,5.847393
0.050000,9.783324,10.343841,2.676618,3.283045,-6.069318,-19.394041,5.753006
0.050000,9.907484,10.262258,2.825183,2.971298,-6.234960,-3.312834,5.647303
0.050000,10.012042,10.175730,2.960901,2.714359,-5.138779,21.923619,5.534158
0.050000,10.100998,10.082960,3.089429,2.570559,-2.875983,45.255902,5.419050
0.050000,10.178316,9.981339,3.217119,2.553806,-0.335073,50.818214,5.307951
0.050000,10.246357,9.868649,3.348758,2.632770,1.579282,38.287097,5.205721
0.050000,10.305758,9.744638,3.486261,2.750065,2.345896,15.332276,5.115188
0.050000,10.356305,9.611398,3.628767,2.850123,2.001175,-6.894410,5.037209
0.050000,10.397822,9.472721,3.773526,2.895168,0.900888,-22.005745,4.971305
0.050000,10.430592,9.333189,3.916854,2.866563,-0.572107,-29.459897,4.916332
0.050000,10.455386,9.197488,4.054802,2.758958,-2.152088,-31.599630,4.870962
0.050000,10.473307,9.070019,4.183524,2.574445,-3.690263,-30.763501,4.833939
0.050000,10.485620,8.954757,4.299442,2.318366,-5.121573,-28.626195,4.804192
0.050000,10.493665,8.854234,4.400287,2.016887,-6.029585,-18.160249,4.780651
0.050000,10.498699,8.768902,4.485766,1.709597,-6.145808,-2.324461,4.762175
0.050000,10.501709,8.698161,4.556572,1.416104,-5.869855,5.519059,4.747789
0.050000,10.503413,8.641051,4.613707,1.142709,-5.467902,8.039060,4.736733
0.050000,10.504314,8.596370,4.658397,0.893791,-4.978353,9.790992,4.728405
0.050000,10.504750,8.562751,4.692019,0.672449,-4.426839,11.030269,4.722316
0.050000,10.504937,8.538709,4.716062,0.480859,-3.831812,11.900556,4.718050
0.050000,10.505005,8.522683,4.732087,0.320509,-3.206989,12.496461,4.715247
0.050000,10.505025,8.513065,4.741706,0.192377,-2.562646,12.886846,4.713579
0.050000,10.505028,8.508211,4.746560,0.097068,-1.906185,13.129216,4.712742
0.050000,10.505029,8.506463,4.748307,0.034954,-1.242265,13.278415,4.712441
0.050000,10.505029,8.506159,4.748612,0.006093,-0.577228,13.300738,4.712389
0.050000,10.505029,8.506159,4.748612,0.000000,-0.121858,9.107405,4.712389
